id,name,abbreviation,name:sk,result,result:number,result:seats
4,Conservative Party,Conservatives,"Konzervatívna strana - pravicová strana, súčasť vládnej koalície",36.8,11300109,330
1,Liberal Democrats,Liberal Democrats,Liberálna demokracia - sociálne liberálna strana. Súčasť vládnej koalície,7.9,2415862,8
7,Plaid Cymru,Plaid Cymru,"Strana Walesu - opozičná ľavicová strana, strana ve Walesu",0.6,181704,3
3,Green Party,Greens,Strana zelených - opozičná enviromentálna strana,3.8,1157613,1
6,Scottish National Party,SNP,Škótska národá strana - opozičná ľavicová strana najväčšia strana v Škótsku,4.7,1454436,56
2,United Kingdom Independent Party (UKIP),UKIP,Strana nezávisloti Spojeného kráľovstva - opozičná krajne pravicová strana,12.7,3881099,1
5,Labour Party,Labours,Strana práce - opozičná ľavicová strana,30.5,9347324,232
