id,name,result,result:number,answer,result:2nd,result:2nd:number
1,Milan Melník,0.4,7678,yes,,
2,Stanislav Martinčko,0.1,2547,yes,,
3,Jozef Šimko,0.2,4674,yes,,
4,Ján Čarnogurský,0.6,12207,yes,,
5,Andrej Kiska,24,455996,yes,59.38,1307065
6,Radoslav Procházka,21.2,403548,yes,,
7,Pavol Hrušovský,3.3,63298,yes,,
8,Gyula Bárdos,5.1,97035,yes,,
9,Helena Mezenská,2.4,45180,yes,,
10,Milan Kňažko,12.9,244401,yes,,
11,Robert Fico,28,531919,no,40.61,893841
12,Ján Jurišta,0.6,12209,no,,
13,Viliam Fischer,0.5,9514,no,,
14,Jozef Behýl,0.5,9126,no,,
