id,abbreviation,name
ano-2011,ANO 2011,ANO 2011
b10,B10,B10.cz
chnj,ČHNJ,České hnutí za národní jednotu
cssd,ČSSD,Česká strana sociálně demokratická
cssd-kdu-csl-sz,ČSSD - KDU-ČSL,ČSSD - KDU-ČSL
hnpd,HNPD,Hnutí na podporu dobrovolných hasičů a dalších dobrovolníků
kc,KČ,Koruna Česká
kdu-csl,KDU-ČSL,Křesťansko-demokratická strana - Československá strana lidová
kons,KONS,Konzervativní strana
ksc,KSČ,Komunistická strana Československa
kscm,KSČM,Komunistická strana Čech a Moravy
nar-soc,NS,Národní socialisté
nbplk,NBPLK,Nová budoucnost pro Liberecký kraj
nestran,Nestran.,Nestraník
nk,NK,Nezávislý kandidát
ods,ODS,Občanská demokratická strana
ostravak,Ostravak,Ostravak
pirati,Piráti,Česká pirátská strana
pp,PP,PP
pss,PSS,PSS
s-cz,S.cz,Severočeši.cz
sbb,SBB,SUVERENITA - Blok Jany Bobošíkové
sd-sn,SD-SN,Spojení demokraté – sdružení nezávislých
snk-ed,SNK-ED,Sdružení nezávislých kandidátů - Evropští demokraté
sp,SP,Strana práce
spoz,SPOZ,Strana práv občanů – Zemanovci
sscr,SSČR,Strana soukromníků ČR
stan,STAN,Starostové a nezávislí
suveren,Suveren.,Suverenita
svobodni,Svobodní,Svobodní
sz,SZ,Strana zelených
top-09,TOP 09,TOP 09
vv,VV,Věci veřejné
