id,name,give_name,family_name,group_id,constituency_id
97,Rejfek Jan RSDr.,Jan,Rejfek,kscm,11
98,Řehák Jiří Mgr.,Jiří,Řehák,b10,32
99,Gabal Ivan,Ivan,Gabal,kdu-csl,17
100,Procházka Pavel Ing.,Pavel,Procházka,ods,56
101,Mašek Josef MUDr.,Josef,Mašek,top-09,5
102,Bednář Miloslav Prof.,Miloslav,Bednář,svobodni,17
103,Filipiová Daniela Ing. arch.,Daniela,Filipiová,ods,23
104,Vodička Stanislav,Stanislav,Vodička,sscr,50
105,Sedláčková Olga Mgr. MBA,Olga,Sedláčková,snk-ed,26
106,Skácel Jan Mgr.,Jan,Skácel,chnj,38
107,Kubíček Jan,Jan,Kubíček,nk,65
108,"Rais Karel prof. Ing. CSc.,MBA,dr.h.c",Karel,Rais,top-09,59
109,Rabas Přemysl MVDr.,Přemysl,Rabas,sz,5
110,Berkovec Stanislav Mgr.,Stanislav,Berkovec,top-09,29
111,Babinec Bohdan MUDr. CSc.,Bohdan,Babinec,nar-soc,23
112,Potůček Martin prof. PhDr. CSc. MSc.,Martin,Potůček,cssd-kdu-csl-sz,23
113,Hubáček František PhDr.,František,Hubáček,ods,80
114,Slavíková Stanislava,Stanislava,Slavíková,cssd,59
115,Šterzl Ivan prof. MUDr. CSc.,Ivan,Šterzl,nar-soc,11
116,Skoupil Karel,Karel,Skoupil,kscm,20
117,Somberg Jiří MUDr.,Jiří,Somberg,suveren,38
118,Šlambor Jaroslav PaedDr.,Jaroslav,Šlambor,kscm,62
119,Jeništa Luděk Mgr.,Luděk,Jeništa,stan,41
120,Suchý Josef,Josef,Suchý,vv,5
121,Bradáč Jaroslav Ing.,Jaroslav,Bradáč,spoz,2
122,Salvetr Rudolf Mgr.,Rudolf,Salvetr,ods,11
123,Cervan David Ing. Ph.D.,David,Cervan,nar-soc,2
124,Znamenáček Aleš Bc.,Aleš,Znamenáček,hnpd,41
125,Jonáš Vítězslav,Vítězslav,Jonáš,ods,53
126,Kubera Jaroslav,Jaroslav,Kubera,ods,32
127,Stanner Karel,Karel,Stanner,top-09,38
128,Veleba Jan Ing.,Jan,Veleba,nk,44
129,Dolejš Jiří Ing.,Jiří,Dolejš,kscm,23
130,Štěpánek Petr Mgr. CSc.,Petr,Štěpánek,sz,20
131,Papazian Valentin Ing.,Valentin,Papazian,pp,17
132,Mikulecký Luděk Ing. LL.M.,Luděk,Mikulecký,top-09,56
133,Štěpán Miroslav Ing. genmjr. v. v.,Miroslav,Štěpán,kdu-csl,47
134,Křivanová Magda PhDr.,Magda,Křivanová,ods,44
135,Látka Jan,Jan,Látka,cssd,11
136,Janek Michal MUDr.,Michal,Janek,top-09,11
137,Papuga Tomáš MUDr.,Tomáš,Papuga,top-09,68
138,Ransdorf Václav Ing.,Václav,Ransdorf,kscm,80
139,Čuřík Petr Ing.,Petr,Čuřík,nk,41
140,Sachetová Jitka,Jitka,Sachetová,kscm,29
141,Merhaut Marek PhDr. Mgr. MBA,Marek,Merhaut,sscr,23
142,Mišák Stanislav MVDr.,Stanislav,Mišák,cssd,80
143,Beznoska Adolf Ing.,Adolf,Beznoska,ods,38
144,Olmer Vít,Vít,Olmer,vv,17
145,Zahradníček Petr Mgr.,Petr,Zahradníček,top-09,2
146,Šnejdrla Jindřich Ing.,Jindřich,Šnejdrla,cssd,77
147,Bařinka Vlastimil Ing.,Vlastimil,Bařinka,stan,53
148,Nevrla Aleš MUDr.,Aleš,Nevrla,top-09,62
149,"Moldan Bedřich prof. RNDr. CSc., dr.h.c.",Bedřich,Moldan,top-09,47
150,Županič Ladislav Mgr.,Ladislav,Županič,ods,62
151,Kolář Karel,Karel,Kolář,pp,20
152,Dobešová Ivana,Ivana,Dobešová,ano-2011,41
153,Chlumecký Zbyněk Mgr.,Zbyněk,Chlumecký,snk-ed,56
