vote_event_id,voter_id,option
1,1,no
10,1,yes
11,1,no
12,1,yes
13,1,yes
14,1,yes
15,1,yes
16,1,yes
17,1,no
18,1,no
2,1,yes
3,1,no
4,1,yes
5,1,no
6,1,no
7,1,yes
8,1,no
9,1,yes
1,2,yes
10,2,yes
11,2,abstain
12,2,yes
13,2,yes
14,2,abstain
15,2,yes
16,2,no
17,2,no
18,2,no
2,2,no
3,2,no
4,2,no
5,2,yes
6,2,no
7,2,no
8,2,no
9,2,yes
1,3,no
10,3,no
11,3,no
12,3,no
13,3,no
14,3,abstain
15,3,yes
16,3,yes
17,3,no
18,3,no
2,3,yes
3,3,no
4,3,yes
5,3,no
6,3,no
7,3,no
8,3,no
9,3,yes
1,4,no
10,4,yes
11,4,no
12,4,no
13,4,abstain
14,4,yes
15,4,yes
16,4,yes
17,4,abstain
18,4,abstain
2,4,yes
3,4,no
4,4,abstain
5,4,no
6,4,no
7,4,no
8,4,no
9,4,yes
1,5,no
10,5,yes
11,5,no
12,5,yes
13,5,no
14,5,yes
15,5,yes
16,5,yes
17,5,no
18,5,abstain
2,5,yes
3,5,no
4,5,abstain
5,5,no
6,5,no
7,5,no
8,5,yes
9,5,yes
1,6,no
10,6,yes
11,6,no
12,6,yes
13,6,no
14,6,yes
15,6,yes
16,6,yes
17,6,no
18,6,no
2,6,no
3,6,abstain
4,6,no
5,6,no
6,6,no
7,6,no
8,6,no
9,6,yes
1,7,no
10,7,yes
11,7,no
12,7,no
13,7,no
14,7,no
15,7,yes
16,7,yes
17,7,yes
18,7,yes
2,7,yes
3,7,yes
4,7,yes
5,7,no
6,7,yes
7,7,yes
8,7,yes
9,7,yes
1,8,no
10,8,abstain
11,8,no
12,8,no
13,8,no
14,8,abstain
15,8,yes
16,8,yes
17,8,yes
18,8,yes
2,8,no
3,8,yes
4,8,yes
5,8,no
6,8,no
7,8,no
8,8,abstain
9,8,yes
1,9,no
10,9,yes
11,9,no
12,9,yes
13,9,no
14,9,yes
15,9,yes
16,9,yes
17,9,yes
18,9,yes
2,9,yes
3,9,yes
4,9,yes
5,9,no
6,9,no
7,9,yes
8,9,no
9,9,yes
1,10,no
10,10,yes
11,10,yes
12,10,yes
13,10,yes
14,10,yes
15,10,no
16,10,no
17,10,no
18,10,no
2,10,yes
3,10,yes
4,10,no
5,10,no
6,10,yes
7,10,no
8,10,no
9,10,yes
1,11,no
10,11,yes
11,11,no
12,11,yes
13,11,no
14,11,abstain
15,11,yes
16,11,yes
17,11,no
18,11,no
2,11,yes
3,11,yes
4,11,no
5,11,no
6,11,yes
7,11,no
8,11,yes
9,11,yes
