id,name,abbreviation
na,PARTIDO NUEVA ALIANZA,NA
pvem,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM
prd,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD
pt,PARTIDO DEL TRABAJO,PT
morena,Agrupación MORENA,MORENA
pan,PARTIDO ACCIÓN NACIONAL,PAN
mc,MOVIMIENTO CIUDADANO,MC
sp,DIPUTADOS SIN PARTIDO,SP
pri,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI
