id,start_date,motion:name,motion:number,sources:link:url,motion:document,legislative_session_id,result,counts:option:yes,counts:option:no,counts:option:abstain,number_of_people,present
24883,2011-11-04,k návrhu na úplatné nabytí pozemků parc. Č. 365/4 a parc. č. 365/5 v k.ú. Miškovice do vlastnictví hl. m. Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24883,10,pass,52,0,0,63,52
24884,2011-11-04,"k návrhu na bezúplatný převod veřejného vodovodního řadu TL DN 150 v délce 52,90 m a kanalizační stoky DN 300 kamenina v délce 76,75 m, vybudovaných v rámci stavby „Bytová výstavba Barrandov, ul. Štěpařská, Praha 5 – Bytový dům B, k,ú. Hlubočepy“, z vlastnictví společnosti Bouwfonds ČR bytová výstavba s.r.o., se sídlem Ke Štvanici 3/656, 186 00, Praha 8, IČ : 60754575, do vlastnictví hl. m. Prahy",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24884,10,pass,52,0,0,63,52
24885,2011-11-04,"k návrhu na bezúplatný převod veřejných vodovodních řadů DN 110 a veřejné splaškové kanalizace DN 300, z vlastnictví Olgy Hejdukové, Čížovská 1211, 190 16, Praha 9, zastoupené opatrovníkem Jiřím Kuchaříkem, Hyacintová 2819/6, Praha 10-Záběhlice, do vlastnictví hl. m. Prahy",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24885,10,pass,49,0,0,63,49
24886,2011-11-04,"k návrhu na bezúplatné nabytí vodovodního řadu, litina DN 150 v délce 100,60 m, dešťové stoky kamenina, DN 300 v délce 99,59 m a splaškové stoky, kamenina, DN 300 v délce 103,23 m z vlastnictví společnosti Jungmannova, s.r.o., se sídlem Bucharova 2641/14, 158 00, Praha 5, IČ : 25131371, do vlastnictví hl. m. Prahy",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24886,10,pass,51,0,0,63,51
24887,2011-11-04,ke Zprávě o uplatňování Zásad územního rozvoje hl.m.Prahy,77,Z-522,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24887,10,pass,59,0,0,63,59
24888,2011-11-04,10. zasedání,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24888,10,fail,24,21,11,63,56
24889,2011-11-04,k rozporu požadavku MČ Praha 2 a navrhovaného vyhodnocení zásadní připomínky č.22/11576 ke konceptu ÚP hl.m.Prahy,78,Z-544,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24889,10,pass,59,0,0,63,59
24890,2011-11-04,k rozporu požadavku MČ Praha 3 a navrhovaného vyhodnocení připomínky č.23/3594 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24890,10,pass,53,0,2,63,55
24891,2011-11-04,k rozporu požadavku MČ Praha 4 a navrhovaného vyhodnocení připomínky č.24/5701 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24891,10,pass,53,2,1,63,56
24892,2011-11-04,k rozporu požadavku MČ Praha 5 a navrhovaného vyhodnocení zásadní připomínky č.25/13235 ke konceptu ÚP hl.m.Prahy,81,Z-573,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24892,10,pass,55,0,0,63,55
24893,2011-11-04,k rozporu požadavku MČ Praha 5 a navrhovaného vyhodnocení zásadní připomínky č.25/13334 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24893,10,fail,30,19,5,63,54
24894,2011-11-04,k rozporu požadavku MČ Praha 6 a navrhovaného vyhodnocení zásadní připomínky č.26/6659 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24894,10,pass,46,6,1,63,53
24895,2011-11-04,k rozporu požadavku MČ Praha 14 a navrhovaného vyhodnocení zásadní připomínky č.34/12276 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24895,10,fail,18,35,3,63,56
24896,2011-11-04,k rozporu požadavku MČ Praha 14 a navrhovaného vyhodnocení zásadní připomínky č.34/12277 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24896,10,pass,43,1,15,63,59
24897,2011-11-04,k rozporu požadavku MČ Praha 16 a navrhovaného vyhodnocení připomínky č.36/10312 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24897,10,pass,56,0,0,63,56
24898,2011-11-04,k rozporu požadavku MČ Praha 17 a navrhovaného vyhodnocení zásadní připomínky č.37/3316 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24898,10,pass,39,2,17,63,58
24899,2011-11-04,k rozporu požadavku MČ Praha 17 a navrhovaného vyhodnocení zásadní připomínky č.37/3317 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24899,10,pass,45,3,11,63,59
24900,2011-11-04,k rozporu požadavku MČ Praha 17 a navrhovaného vyhodnocení zásadní připomínky č.37/3320 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24900,10,pass,46,3,7,63,56
24901,2011-11-04,k rozporu požadavku MČ Praha 17 a navrhovaného vyhodnocení zásadní připomínky č.37/3321 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24901,10,pass,51,3,4,63,58
24902,2011-11-04,k rozporu požadavku MČ Praha 19 a navrhovaného vyhodnocení připomínky č.39/11401 ke konceptu ÚP hl.m.Prahy,89,Z-552,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24902,10,pass,33,1,19,63,53
24903,2011-11-04,k rozporu požadavku MČ Praha 20 a navrhovaného vyhodnocení připomínky č.40/14002 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24903,10,pass,32,17,7,63,56
24904,2011-11-04,k rozporu požadavku MČ Praha - Dubeč a navrhovaného vyhodnocení připomínky č.51/13662 ke konceptu ÚP hl.m.Prahy,91,Z-563,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24904,10,pass,55,0,2,63,57
24905,2011-11-04,k rozporu požadavku MČ Praha - Dubeč a navrhovaného vyhodnocení připomínky č.51/13672 ke konceptu ÚP hl.m.Prahy,92,Z-564,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24905,10,pass,57,0,0,63,57
24906,2011-11-04,k rozporu požadavku MČ Praha - Klánovice a navrhovaného vyhodnocení zásadní připomínky č.52/11889 ke konceptu ÚP hl.m.Prahy,93,Z-560,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24906,10,pass,55,0,0,63,55
24907,2011-11-04,k rozporu požadavku MČ Praha - Klánovice a navrhovaného vyhodnocení připomínky č.52/11893 ke konceptu ÚP hl.m.Prahy,94,Z-561,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24907,10,pass,55,0,0,63,55
24908,2011-11-04,k rozporu požadavku MČ Praha - Lysolaje a navrhovaného vyhodnocení zásadní připomínky č.61/13155 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24908,10,pass,50,0,2,63,52
24909,2011-11-04,k rozporu požadavku MČ Praha - Lysolaje a navrhovaného vyhodnocení zásadní připomínky č.61/13154 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24909,10,pass,52,0,0,63,52
24910,2011-11-04,k rozporu požadavku MČ Praha - Nebušice a navrhovaného vyhodnocení zásadní připomínky č.62/3341 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24910,10,pass,49,0,2,63,51
24911,2011-11-04,k rozporu požadavku MČ Praha - Nebušice a navrhovaného vyhodnocení zásadní připomínky č.62/3342 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24911,10,pass,51,2,1,63,54
24912,2011-11-04,k rozporu požadavku MČ Praha - Nebušice a navrhovaného vyhodnocení zásadní připomínky č.62/3345 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24912,10,pass,53,0,1,63,54
24913,2011-11-04,k rozporu požadavku MČ Praha - Nebušice a navrhovaného vyhodnocení zásadní připomínky č.62/3340 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24913,10,fail,15,15,23,63,53
24914,2011-11-04,k rozporu požadavku MČ Praha - Nebušice a navrhovaného vyhodnocení zásadní připomínky č.62/3340 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24914,10,pass,44,2,4,63,50
24915,2011-11-04,k rozporu požadavků MČ Praha - Ďáblice a navrhovaného vyhodnocení zásadních připomínek č.47/12030 a č. 47/12047 ke konceptu ÚP hl.m.Prahy,101,Z-546,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24915,10,pass,48,2,8,63,58
24916,2011-11-04,k rozporu požadavku MČ Praha - Velká Chuchle a navrhovaného vyhodnocení připomínky č.74/12221 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24916,10,fail,30,23,1,63,54
24917,2011-11-04,k rozporu požadavku MČ Praha - Velká Chuchle a navrhovaného vyhodnocení připomínky č.74/12223 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24917,10,pass,34,20,1,63,55
24918,2011-11-04,k rozporu požadavku MČ Praha - Velká Chuchle a navrhovaného vyhodnocení připomínky č.74/12226 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24918,10,pass,33,18,3,63,54
24919,2011-11-04,k rozporu požadavku MČ Praha - Velká Chuchle a navrhovaného vyhodnocení připomínky č.74/12227 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24919,10,pass,34,23,1,63,58
24920,2011-11-04,k rozporu požadavku MČ Praha - Velká Chuchle a navrhovaného vyhodnocení připomínky č.74/12230 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24920,10,pass,34,20,1,63,55
24921,2011-11-04,k rozporu požadavku MČ Praha - Velká Chuchle a navrhovaného vyhodnocení připomínky č.74/12231 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24921,10,pass,34,20,2,63,56
24922,2011-11-04,k rozporu požadavku MČ Praha - Velká Chuchle a navrhovaného vyhodnocení připomínky č.74/12232 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24922,10,pass,34,7,15,63,56
24923,2011-11-04,k rozporu požadavku MČ Praha - Velká Chuchle a navrhovaného vyhodnocení připomínky č.74/12234 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24923,10,pass,34,14,8,63,56
24924,2011-11-04,k rozporu požadavku MČ Praha - Velká Chuchle a navrhovaného vyhodnocení připomínky č.74/12236 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24924,10,pass,34,14,7,63,55
24925,2011-11-04,k rozporu požadavku MČ Praha - Velká Chuchle a navrhovaného vyhodnocení připomínky č.74/12243 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24925,10,pass,34,17,6,63,57
24926,2011-11-04,k rozporu požadavku MČ Praha - Zbraslav a navrhovaného vyhodnocení připomínky č.76/11623 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24926,10,pass,41,5,10,63,56
24927,2011-11-04,k rozporu požadavku MČ Praha - Běchovice a navrhovaného vyhodnocení připomínky č. 44/4264 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24927,10,pass,53,2,0,63,55
24928,2011-11-04,k rozporu požadavku MČ Praha - Běchovice a navrhovaného vyhodnocení připomínky č. 44/6950 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24928,10,pass,58,0,0,63,58
24929,2011-11-04,k rozporu požadavku MČ Praha - Běchovice a navrhovaného vyhodnocení připomínky č. 44/6952 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24929,10,pass,57,0,0,63,57
24930,2011-11-04,k rozporu požadavku MČ Praha - Dolní Chabry a navrhovaného vyhodnocení připomínky č.48/2533 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24930,10,pass,55,0,0,63,55
24931,2011-11-04,k rozporu požadavku MČ Praha - Křeslice a navrhovaného vyhodnocení připomínky č.56/11590 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24931,10,fail,26,8,16,63,50
24932,2011-11-04,k rozporu požadavku MČ Praha - Křeslice a navrhovaného vyhodnocení připomínky č.56/11590 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24932,10,pass,56,0,0,63,56
24933,2011-11-04,k rozporu požadavku MČ Praha - Křeslice a navrhovaného vyhodnocení připomínky č.56/11591 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24933,10,pass,51,1,2,63,54
24934,2011-11-04,k rozporu požadavku MČ Praha - Křeslice a navrhovaného vyhodnocení připomínky č.56/11852 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24934,10,pass,36,1,14,63,51
24935,2011-11-04,k rozporu požadavku MČ Praha - Křeslice a navrhovaného vyhodnocení připomínky č.56/11860 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24935,10,pass,35,8,10,63,53
24936,2011-11-04,k rozporu požadavku MČ Praha - Suchdol a navrhovaného vyhodnocení zásadní připomínky č.69/13773 ke konceptu ÚP hl.m.Prahy,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24936,10,pass,49,0,0,63,49
24937,2011-11-04,"k rozporu požadavku MČ Praha - Suchdol a navrhovaného vyhodnocení zásadních připomínek č. 69/13779, 69/13784, 69/13790, 69/13795, 69/13800 ke konceptu ÚP hl. m. Prahy",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24937,10,pass,49,0,0,63,49
24938,2011-11-04,k rozporu požadavku MČ Praha - Suchdol a navrhovaného vyhodnocení zásadní připomínky č.69/13785 ke konceptu ÚP hl.m.Prahy,122,Z-605,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24938,10,pass,49,0,0,63,49
24939,2011-11-04,k rozporu požadavku MČ Praha - Suchdol a navrhovaného vyhodnocení zásadní připomínky č.69/13817 ke konceptu ÚP hl.m.Prahy,123,Z-606,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24939,10,pass,49,0,0,63,49
24940,2011-11-04,k rozporu požadavku MČ Praha - Suchdol a navrhovaného vyhodnocení zásadní připomínky č.69/13819 ke konceptu ÚP hl.m.Prahy,124,Z-607,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24940,10,pass,50,0,0,63,50
24941,2011-11-04,k rozporu požadavku MČ Praha - Suchdol a navrhovaného vyhodnocení zásadní připomínky č.69/13820 ke konceptu ÚP hl.m.Prahy,125,Z-608,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24941,10,pass,51,0,0,63,51
24942,2011-11-04,k rozporu požadavku MČ Praha - Suchdol a navrhovaného vyhodnocení zásadní připomínky č.69/13806 ke konceptu ÚP hl.m.Prahy,126,Z-609,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24942,10,pass,50,0,0,63,50
24943,2011-11-04,k rozporu požadavku MČ Praha - Suchdol a navrhovaného vyhodnocení zásadní připomínky č.69/13796 ke konceptu ÚP hl.m.Prahy,127,Z-610,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24943,10,pass,51,0,0,63,51
24944,2011-11-04,k rozporu požadavku MČ Praha - Troja a navrhovaného vyhodnocení zásadní připomínky č.72/11764 ke konceptu ÚP hl.m.Prahy,128,Z-598,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24944,10,pass,34,0,24,63,58
24945,2011-11-04,k rozporu požadavku MČ Praha - Troja a navrhovaného vyhodnocení zásadní připomínky č.72/11769 ke konceptu ÚP hl.m.Prahy,129,Z-599,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24945,10,pass,51,0,1,63,52
24946,2011-11-04,k rozporu požadavku MČ Praha - Troja a navrhovaného vyhodnocení připomínky č.72/11760 ke konceptu ÚP hl.m.Prahy,130,Z-600,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24946,10,pass,54,0,1,63,55
24947,2011-11-04,k návrhu personálních změn ve výborech ZHMP,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24947,10,pass,56,0,0,63,56
24985,2011-11-24,11. zasedání,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24985,11,pass,47,2,4,63,53
24986,2011-11-24,11. zasedání,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24986,11,pass,47,0,3,63,50
24987,2011-11-24,11. zasedání,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24987,11,pass,37,12,4,63,53
24988,2011-11-24,11. zasedání,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24988,11,pass,36,9,6,63,51
24989,2011-11-24,11. zasedání,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24989,11,pass,35,3,10,63,48
24990,2011-11-24,11. zasedání,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24990,11,fail,19,29,8,63,56
