id,start_date,motion:name,motion:number,sources:link:url,motion:document,legislative_session_id,result,counts:option:yes,counts:option:no,counts:option:abstain,number_of_people,present
23688,2010-11-30,volba předsedy výboru ZHMP (Blažek) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23688,1,pass,43,11,8,63,62
23689,2010-11-30,volba předsedy výboru ZHMP (Hána) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23689,1,pass,39,11,12,63,62
23690,2010-11-30,volba předsedy výboru ZHMP (Ludvík) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23690,1,pass,33,25,4,63,62
23691,2010-11-30,volba předsedy výboru ZHMP (Petrus) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23691,1,pass,38,5,18,63,61
22903,2010-11-30,volba předsedy výboru ZHMP (Dlouhý) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=22903,1,fail,26,12,23,63,61
23257,2010-11-30,volba předsedy výboru ZHMP (Štastný) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23257,1,pass,34,24,4,63,62
23258,2010-11-30,volba předsedkyně výboru ZHMP (Teska Arnoštová) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23258,1,pass,38,2,22,63,62
23259,2010-11-30,volba předsedy výboru ZHMP (Nouza) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23259,1,fail,26,10,26,63,62
23260,2010-11-30,volba předsedy výboru ZHMP (Richter M.) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23260,1,pass,33,25,3,63,61
23261,2010-11-30,volba předsedy výboru ZHMP (Klega) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23261,1,pass,35,19,8,63,62
20392,2010-11-30,volba předsedkyně výboru ZHMP (Kloudová) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=20392,1,pass,38,5,18,63,61
20393,2010-11-30,volba předsedy výboru ZHMP (Liška) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=20393,1,fail,25,24,13,63,62
23716,2010-11-30,volba předsedy výboru ZHMP (Pecha) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23716,1,pass,34,23,4,63,61
23717,2010-11-30,volba předsedy výboru ZHMP (Kalousek) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23717,1,pass,34,19,8,63,61
23718,2010-11-30,volba předsedkyně výboru ZHMP (Vlásenková) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23718,1,pass,38,5,18,63,61
23719,2010-11-30,volba předsedy výboru ZHMP (Bříza) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23719,1,pass,57,0,5,63,62
23720,2010-11-30,volba předsedy výboru ZHMP (Hudeček) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23720,1,fail,25,1,35,63,61
