id,name,abbreviation,votes
29,Strana maďarskej komunity - Magyar Közösség Pártja,SMK-MKP,yes
18,Vzdor - strana práce,Vzdor,yes
12,Európska demokratická strana,EDS,yes
7,Demokratická občianska strana,DOST,yes
19,Obyčajní ľudia a nezávislé osobnosti,OĽaNO,yes
2,Kresťanskodemo­kratické hnutie,KDH,yes
27,Slovenská demokratická a kresťanská únia - Demokratická strana,SDKÚ-DS,yes
3,Smer - sociálna demokracia,SMER-SD,yes
16,Strana demokratického Slovenska,SDS,yes
20,Právo a spravodlivosť,PaS,yes
21,Sloboda a Solidarita,SaS,yes
1,"NOVA, Konzervatívni demokrati Slovenska, Občianska konzervatívna strana",NOVA,yes
14,Az együttműködés pártja - strana spolupráce,MOST-HÍD,yes
8,7 Statočných regionálna strana Slovenska,7 statočných,yes
15,Kresťanská slovenská národná strana,KSNS,no
23,Komunistická strana Slovenska,KSS,no
11,Ľudová strana Naše Slovensko,ĽSNS,no
9,Maďarská kresťanskodemo­kratická aliancia - Magyar Kereszténydemokrata Szövetség,MKDA-MKDSZ,no
6,Magnificat Slovakia,MS,no
5,Národ a Spravodlivosť – naša strana,NAS,no
13,Nový parlament,NP,no
28,Priama demokracia,PD,no
4,Slovenská ľudová strana,SĽS,no
22,Strana moderného Slovenska,SMS,no
26,Slovenská národná strana,SNS,no
25,Strana občianskej ľavice,SOL,no
17,Strana zelených,SZ,no
10,Strana TIP,TIP,no
24,Úsvit,Úsvit,no
