id,name,abbreviation,votes
3,Komunistická strana Čech a Moravy,KsČM,yes
9,TOP 09,TOP 09,yes
7,Strana Práv Občanů,SPO,yes
6,Sdružení politické strany Republika a nezávislých kandidátů,Republika,yes
5,Občanská demokratická strana,ODS,yes
11,ŽĎÁR - ŽIVÉ MĚSTO,ŽŽM,yes
1,ANO 2011,ANO,no
2,Česká strana sociálně demokratická,ČSSD,no
4,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,no
10,"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET",PB,no
8,Strana svobodných občanů,Svobodní,no
