id,name,abbreviation,result
1,"Občané městu, město občanům",OMMO,0.53
2,Dělnická strana sociální spravedlnosti,DSSS,4.37
3,PRO kraj,PRO kraj,8.15
4,Česká pirátská strana,Piráti,1.88
5,SNK Evropští demokraté,SNK-ED,3.63
6,Severočeši.cz,S.cz,12.02
7,TOP 09 a Starostové,TOP09+STAN,4.67
8,Občanská demokratická strana,ODS,9.68
9,Strana svobodných občanů,Svobodní,1.55
10,Národní socialisté - levice 21. století,NS-LEV21,2.79
