id,name,abbreviation
4,Magyar Szocialista Párt,MSZP
2,Jobbik Magyarországért Mozgalom,Jobbik
1,Demokratikus Koalíció,DK
3,Lehet Más a Politika,LMP
5,Fidesz-Magyar Polgári Szövetség,Fidesz
6,Együtt-PM,Együtt-PM
