id,name,state
54-1,BERINHO BANTIM,Roraima
54-2,EDIO LOPES,Roraima
54-3,CHICO DAS VERDURAS,Roraima
54-4,LUCIANO CASTRO,Roraima
54-5,JHONATAN DE JESUS,Roraima
54-6,PAULO CESAR QUARTIERO,Roraima
54-7,RAUL LIMA,Roraima
54-8,TERESA SURITA,Roraima
54-9,DALVA FIGUEIREDO,Amapá
54-10,DAVI ALCOLUMBRE,Amapá
54-11,EVANDRO MILHOMEN,Amapá
54-12,FÁTIMA PELAES,Amapá
54-14,LUIZ CARLOS,Amapá
54-15,PROFESSORA MARCIVANIA,Amapá
54-16,VINICIUS GURGEL,Amapá
54-17,SEBASTIÃO BALA ROCHA,Amapá
54-18,ARNALDO JORDY,Pará
54-19,BETO FARO,Pará
54-20,ASDRUBAL BENTES,Pará
54-21,ELCIONE BARBALHO,Pará
54-22,CLÁUDIO PUTY,Pará
54-23,WLADIMIR COSTA,Pará
54-25,ZÉ GERALDO,Pará
54-26,JOSÉ PRIANTE,Pará
54-27,GIOVANNI QUEIROZ,Pará
54-28,LIRA MAIA,Pará
54-29,LÚCIO VALE,Pará
54-30,JOSUÉ BENGTSON,Pará
54-31,NILSON PINTO,Pará
54-32,WANDENKOLK GONÇALVES,Pará
54-33,ZEQUINHA MARINHO,Pará
54-34,ZENALDO COUTINHO,Pará
54-35,MIRIQUINHO BATISTA,Pará
54-36,HENRIQUE OLIVEIRA,Amazonas
54-37,CARLOS SOUZA,Amazonas
54-38,ÁTILA LINS,Amazonas
54-39,SILAS CÂMARA,Amazonas
54-40,PAUDERNEY AVELINO,Amazonas
54-41,FRANCISCO PRACIANO,Amazonas
54-42,REBECCA GARCIA,Amazonas
54-43,SABINO CASTELO BRANCO,Amazonas
54-44,CARLOS MAGNO,Rondonia
54-45,LINDOMAR GARÇON,Rondonia
54-46,MAURO NAZIF,Rondonia
54-47,NILTON CAPIXABA,Rondonia
54-48,PADRE TON,Rondonia
54-49,MOREIRA MENDES,Rondonia
54-50,MARINHA RAUPP,Rondonia
54-51,NATAN DONADON,Rondonia
54-52,HENRIQUE AFONSO,Acre
54-53,ANTÔNIA LÚCIA,Acre
54-54,FLAVIANO MELO,Acre
54-55,GLADSON CAMELI,Acre
54-56,PERPÉTUA ALMEIDA,Acre
54-57,MARCIO BITTAR,Acre
54-58,SIBA MACHADO,Acre
54-59,TAUMATURGO LIMA,Acre
54-60,EDUARDO GOMES,Tocantins
54-61,AGNOLIN,Tocantins
54-62,LAUREZ MOREIRA,Tocantins
54-63,LÁZARO BOTELHO,Tocantins
54-64,CÉSAR HALUM,Tocantins
54-65,IRAJÁ ABREU,Tocantins
54-66,JÚNIOR COIMBRA,Tocantins
54-67,PROFESSORA DORINHA SEABRA REZEN,Tocantins
54-68,CARLOS BRANDÃO,Maranhão
54-70,CLEBER VERDE,Maranhão
54-71,ALBERTO FILHO,Maranhão
54-72,DOMINGOS DUTRA,Maranhão
54-73,EDIVALDO HOLANDA JUNIOR,Maranhão
54-74,RIBAMAR ALVES,Maranhão
54-75,GASTÃO VIEIRA,Maranhão
54-76,HÉLIO SANTOS,Maranhão
54-77,LOURIVAL MENDES,Maranhão
54-78,NICE LOBÃO,Maranhão
54-79,PINTO ITAMARATY,Maranhão
54-80,PEDRO FERNANDES,Maranhão
54-81,PROFESSOR SETIMO,Maranhão
54-82,PEDRO NOVAIS,Maranhão
54-83,LUCIANO MOREIRA,Maranhão
54-84,WALDIR MARANHÃO,Maranhão
54-85,SARNEY FILHO,Maranhão
54-86,ZÉ VIEIRA,Maranhão
54-87,ANÍBAL GOMES,Ceará
54-88,CHICO LOPES,Ceará
54-89,ANDRÉ FIGUEIREDO,Ceará
54-90,ARNON BEZERRA,Ceará
54-91,EUDES XAVIER,Ceará
54-92,ARIOSTO HOLANDA,Ceará
54-93,ANTONIO BALHMANN,Ceará
54-94,ARTUR BRUNO,Ceará
54-95,DANILO FORTE,Ceará
54-96,JOSÉ LINHARES,Ceará
54-97,DOMINGOS NETO,Ceará
54-98,EDSON SILVA,Ceará
54-99,GENECIAS NORONHA,Ceará
54-100,GORETE PEREIRA,Ceará
54-101,JOSÉ AIRTON,Ceará
54-102,RAIMUNDO GOMES DE MATOS,Ceará
54-103,JOSÉ GUIMARÃES,Ceará
54-104,MANOEL SALVIANO,Ceará
54-105,MAURO BENEVIDES,Ceará
54-106,JOAO ANANIAS,Ceará
54-107,VICENTE ARRUDA,Ceará
54-108,RAIMUNDÃO,Ceará
54-109,ÁTILA LIRA,Piauí
54-110,MARCELO CASTRO,Piauí
54-111,ASSIS CARVALHO,Piauí
54-112,HUGO NAPOLEÃO,Piauí
