id,date,motion:title,motion:legislative_session,motion:legislative_session_type,motion:session,motion:session_type,count:yes,count:no,count:abstain,count:obstraction,count:blank
54-017.tx,2014-12-03T12:54:15,VETOS - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO,CC04,ordinary,3,ordinary,282,9,6,52,0
54-018.tx,2014-12-03T13:17:53,VETOS - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO,SF04,ordinary,3,ordinary,41,1,0,1,0
54-020.tx,2014-12-03T16:46:04,VETO TOTAL - Nº 29/2014 - REQ. ENCERRAMENTO DA DISCUSSÃO,SF04,ordinary,3,ordinary,40,0,1,0,0
54-021.tx,2014-12-03T20:42:07,PLN  Nº 31/2014 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO,CC04,ordinary,3,ordinary,309,2,0,13,0
54-019.tx,2014-12-03T16:19:03,VETO TOTAL - Nº 29/2014 - REQ. ENCERRAMENTO DA DISCUSSÃO,CC04,ordinary,3,ordinary,271,5,5,47,0
54-022.tx,2014-12-03T20:53:45,PLN  Nº 31/2014 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO,SF04,ordinary,3,ordinary,45,0,0,1,0
54-024.tx,2014-12-03T23:20:14,PLN  Nº 36/2013 - CONSULTA AO PLENÁRIO PARA MODIFICAÇÃO DA PAUTA,CC04,ordinary,3,ordinary,9,259,0,55,0
54-026.tx,2014-12-04T01:00:45,PLN  Nº 36/2014 - REQ. DE ENCERRAMENTO DA DISCUSSÃO,SF04,ordinary,3,ordinary,40,0,0,0,0
54-030.tx,2014-12-04T03:36:44,PLN  Nº 36/2014 - SUBSTITUTIVO DA COMISSÃO MISTA DE ORÇAMENTO,CC04,ordinary,3,ordinary,240,60,0,9,0
54-031.tx,2014-12-04T03:45:22,PLN  Nº 36/2014 - SUBSTITUTIVO DA COMISSÃO MISTA DE ORÇAMENTO,SF04,ordinary,3,ordinary,39,1,0,0,0
54-027.tx,2014-12-04T02:00:09,PLN  Nº 36/2014 - VOTAÇÃO DOS DESTAQUES EM GLOBO,CC04,ordinary,3,ordinary,12,255,0,36,0
54-038.tx,2014-12-09T17:17:24,PDC  Nº 1612/2014 - ESCOLHE  O SR. VITAL DO REGO FILHO PARA O CARGO DE MINISTRO DO TCU,CD04,ordinary,28,extraordinary,313,8,8,1,0
54-039.tx,2014-12-09T20:01:01,PLN  Nº 36/2014 - DVS - PSDB - EMENDA Nº 69,CC04,ordinary,3,extraordinary,55,247,2,57,0
54-041.tx,2014-12-10T15:36:10,REP  Nº 25/2014 - REPRESENTAÇÃO EM DESFAVOR DO DEPUTADO FEDERAL ANDRÉ VARGAS,CD04,ordinary,28,extraordinary,359,1,6,0,0
54-043.tx,2014-12-10T16:21:40,PEC  Nº 434/2014 - PROPOSTA DE EMENDA À CONSTITUIÇÃO - PRIMEIRO TURNO,CD04,ordinary,28,extraordinary,369,0,0,0,0
54-045.tx,2014-12-16T18:15:20,PEC  Nº 434/2014 - PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,CD04,ordinary,29,extraordinary,398,0,0,0,0
54-046.tx,2014-12-16T20:17:27,"PEC  Nº 358/2013 - DVS DEM -  ART. 198 DA CF CONST.ART 1º, § 10 DO ART 166, ART. 1º, 2º, 3º E 4º",CD04,ordinary,29,extraordinary,349,59,3,1,0
