id,name,abbreviation,result
1,TOP 09 a Starostové,TOP09+STAN,5.05
2,Občanská demokratická strana,ODS,10.29
3,Strana svobodných občanů,Svobodní,1.28
4,Strana Práv Občanů ZEMANOVCI,SPOZ,4.26
5,Pro Vysočinu,Pro Vys.,6.38
6,Česká strana sociálně demokratická,ČSSD,29.26
7,Komunistická strana Čech a Moravy,KSČM,19.57
8,Strana zelených,Zelení,2.04
9,Česká pirátská strana,Piráti,1.59
10,Starostové pro občany,SPO,4.46
