id,name,abbreviation,votes
8,Občanská demokratická strana,ODS,yes
11,Patrioti Pardubic,PP,yes
12,Sdružení pro Pardubice,SPP,yes
9,Pardubáci,P,yes
6,"Naše Pardubice - ""Nechceme Vám vládnout, chceme s Vámi spolupracovat""",NP,yes
2,Česká strana sociálně demokratická,ČSSD,yes
4,Koalice pro Pardubice (KDU-ČSL a nestraníci),KPP,yes
3,DOMOV,DOMOV,yes
16,Úsvit přímé demokracie,ÚSVIT,yes
15,TOP09 a nezávislí,TOP 09,yes
1,ANO 2011,ANO,yes
14,Svobodní,Svobodní,yes
13,Strana zelených,Zelení,yes
5,Komunistická strana Čech a Moravy,KSČM,no
7,Nezávislí,N,no
10,Pardubice pro lidi a Soukromníci,PpL,no
17,Zemanovci,SPO,no
