id,name,abbreviation,result
1,Koalice pro OLK společně se starosty,Koalice OLK,11
2,TOP 09 a Starostové,TOP09+STAN,6.16
3,Strana Práv Občanů ZEMANOVCI,SPOZ,3.3
4,Moravané,Moravané,1.92
5,Strana svobodných občanů,Svobodní,1.49
6,NEZÁVISLÍ,Nez.,4.95
7,"REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA",RSČMS,0.24
8,Občanská demokratická strana,ODS,10.91
9,Česká pirátská strana,Piráti,2.11
10,Dělnická strana sociální spravedlnosti,DSSS,0.99
11,Národní socialisté - levice 21. století,NS-LEV21,0.32
