vote_event_id,voter_id,option
1,1,yes
10,1,no
11,1,no
12,1,no
13,1,yes
14,1,yes
15,1,yes
16,1,no
17,1,no
2,1,yes
3,1,yes
4,1,abstain
5,1,no
6,1,no
7,1,no
8,1,yes
9,1,yes
1,2,yes
10,2,no
11,2,yes
12,2,no
13,2,yes
14,2,yes
15,2,yes
16,2,yes
17,2,yes
2,2,yes
3,2,yes
4,2,yes
5,2,yes
6,2,no
7,2,yes
8,2,no
9,2,yes
1,3,yes
10,3,abstain
11,3,no
12,3,yes
13,3,no
14,3,no
15,3,yes
16,3,no
17,3,yes
2,3,yes
3,3,yes
4,3,yes
5,3,no
6,3,yes
7,3,yes
8,3,yes
9,3,yes
1,4,yes
10,4,no
11,4,yes
12,4,yes
13,4,yes
14,4,yes
15,4,yes
16,4,no
17,4,no
2,4,yes
3,4,yes
4,4,yes
5,4,no
6,4,no
7,4,no
8,4,yes
9,4,yes
1,5,no
10,5,no
11,5,yes
12,5,yes
13,5,yes
14,5,yes
15,5,no
16,5,no
17,5,no
2,5,no
3,5,no
4,5,no
5,5,no
6,5,no
7,5,yes
8,5,yes
9,5,yes
1,6,abstain
10,6,no
11,6,no
12,6,abstain
13,6,yes
14,6,no
15,6,no
16,6,yes
17,6,yes
2,6,yes
3,6,no
4,6,yes
5,6,yes
6,6,no
7,6,no
8,6,yes
9,6,yes
1,7,yes
10,7,no
11,7,yes
12,7,no
13,7,yes
14,7,yes
15,7,yes
16,7,no
17,7,no
2,7,yes
3,7,yes
4,7,yes
5,7,yes
6,7,no
7,7,no
8,7,no
9,7,yes
1,8,yes
10,8,no
11,8,yes
12,8,no
13,8,yes
14,8,no
15,8,no
16,8,no
17,8,no
2,8,yes
3,8,yes
4,8,yes
5,8,no
6,8,no
7,8,yes
8,8,yes
9,8,yes
1,9,no
10,9,no
11,9,yes
12,9,yes
13,9,yes
14,9,yes
15,9,yes
16,9,yes
17,9,yes
2,9,yes
3,9,yes
4,9,no
5,9,no
6,9,no
7,9,no
8,9,yes
9,9,yes
1,10,yes
10,10,no
11,10,no
12,10,abstain
13,10,no
14,10,abstain
15,10,yes
16,10,no
17,10,no
2,10,yes
3,10,yes
4,10,yes
5,10,yes
6,10,abstain
7,10,no
8,10,no
9,10,yes
1,11,yes
10,11,no
11,11,no
12,11,no
13,11,no
14,11,yes
15,11,yes
16,11,no
17,11,no
2,11,yes
3,11,yes
4,11,yes
5,11,yes
6,11,no
7,11,no
8,11,yes
9,11,yes
