id,name,state
52-1,ALCESTE ALMEIDA,Roraima
52-2,DR. RODOLFO PEREIRA,Roraima
52-3,FRANCISCO RODRIGUES,Roraima
52-4,LUCIANO CASTRO,Roraima
52-5,MARIA HELENA,Roraima
52-6,MOISÉS LIPNIK,Roraima
52-7,PASTOR FRANKEMBERGEN,Roraima
52-8,SUELY CAMPOS,Roraima
52-9,CORONEL ALVES,Amapá
52-10,DAVI ALCOLUMBRE,Amapá
52-11,GERVÁSIO OLIVEIRA,Amapá
52-12,DR. BENEDITO DIAS,Amapá
52-13,HAMILTON CASARA,Rondonia
52-14,EDUARDO SEABRA,Amapá
52-15,HÉLIO ESTEVES,Amapá
52-16,JANETE CAPIBERIBE,Amapá
52-17,ANTONIO NOGUEIRA,Amapá
52-18,ANN PONTES,Pará
52-19,ANIVALDO VALE,Pará
52-20,ASDRUBAL BENTES,Pará
52-21,BABÁ,Pará
52-22,JADER BARBALHO,Pará
52-23,WLADIMIR COSTA,Pará
52-25,ZÉ GERALDO,Pará
52-26,ZÉ LIMA,Pará
52-27,JOSÉ PRIANTE,Pará
52-28,NICIAS RIBEIRO,Pará
52-29,JOSUÉ BENGTSON,Pará
52-30,PAULO ROCHA,Pará
52-31,NILSON PINTO,Pará
52-32,RAIMUNDO SANTOS,Pará
52-33,ZEQUINHA MARINHO,Pará
52-34,ZENALDO COUTINHO,Pará
52-35,VIC PIRES FRANCO,Pará
52-36,FRANCISCO GARCIA,Amazonas
52-37,CARLOS SOUZA,Amazonas
52-38,ÁTILA LINS,Amazonas
52-39,SILAS CÂMARA,Amazonas
52-40,VANESSA GRAZZIOTIN,Amazonas
52-41,HUMBERTO MICHILES,Amazonas
52-42,LUPÉRCIO RAMOS,Amazonas
52-43,PAUDERNEY AVELINO,Amazonas
52-44,AGNALDO MUNIZ,Rondonia
52-45,CONFÚCIO MOURA,Rondonia
52-46,NILTON CAPIXABA,Rondonia
52-47,ANSELMO,Rondonia
52-48,EDUARDO VALVERDE,Rondonia
52-49,MIGUEL DE SOUZA,Rondonia
52-50,MARINHA RAUPP,Rondonia
52-51,SÉRGIO CARVALHO,Rondonia
52-52,HENRIQUE AFONSO,Acre
52-53,JOÃO CORREIA,Acre
52-54,JÚNIOR BETÃO,Acre
52-55,NARCISO MENDES,Acre
52-56,PERPÉTUA ALMEIDA,Acre
52-57,NILSON MOURÃO,Acre
52-58,RONIVON SANTIAGO,Acre
52-59,ZICO BRONZEADO,Acre
52-60,EDUARDO GOMES,Tocantins
52-61,DARCI COELHO,Tocantins
52-62,HOMERO BARRETO,Tocantins
52-63,KÁTIA ABREU,Tocantins
52-64,MAURÍCIO RABELO,Tocantins
52-65,OSVALDO REIS,Tocantins
52-66,RONALDO DIMAS,Tocantins
52-67,PASTOR AMARILDO,Tocantins
52-68,ANTONIO JOAQUIM,Maranhão
52-70,CÉSAR BANDEIRA,Maranhão
52-71,COSTA FERREIRA,Maranhão
52-72,JOÃO CASTELO,Maranhão
52-73,CLÓVIS FECURY,Maranhão
52-74,DR. RIBAMAR ALVES,Maranhão
52-75,GASTÃO VIEIRA,Maranhão
52-76,LUCIANO LEITOA,Maranhão
52-77,NEIVA MOREIRA,Maranhão
52-78,NICE LOBÃO,Maranhão
52-79,PAULO MARINHO,Maranhão
52-80,PEDRO FERNANDES,Maranhão
52-81,TEREZINHA FERNANDES,Maranhão
52-82,PEDRO NOVAIS,Maranhão
52-83,REMI TRINTA,Maranhão
52-84,WAGNER LAGO,Maranhão
52-85,SARNEY FILHO,Maranhão
52-86,SEBASTIÃO MADEIRA,Maranhão
52-87,ANÍBAL GOMES,Ceará
52-88,BISMARCK MAIA,Ceará
52-89,ALMEIDA DE JESUS,Ceará
52-90,ARNON BEZERRA,Ceará
52-91,ANTONIO CAMBRAIA,Ceará
52-92,ARIOSTO HOLANDA,Ceará
52-93,JOÃO ALFREDO,Ceará
52-94,INÁCIO ARRUDA,Ceará
52-95,EUNÍCIO OLIVEIRA,Ceará
52-96,JOSÉ LINHARES,Ceará
52-97,JOSÉ PIMENTEL,Ceará
52-98,LÉO ALCÂNTARA,Ceará
52-99,MARCELO TEIXEIRA,Ceará
52-100,LEÔNIDAS CRISTINO,Ceará
52-101,MORONI TORGAN,Ceará
52-102,RAIMUNDO GOMES DE MATOS,Ceará
52-104,ROBERTO PESSOA,Ceará
52-105,ROMMEL FEIJÓ,Ceará
52-106,PASTOR PEDRO RIBEIRO,Ceará
52-107,VICENTE ARRUDA,Ceará
52-108,ZÉ GERARDO,Ceará
