id,date,motion:title,motion:legislative_session,motion:legislative_session_type,motion:session,motion:session_type,count:yes,count:no,count:abstain,count:obstraction,count:blank
52-632.tx,2006-12-06T14:59:42,PEC  Nº 536/1997 - SEGUNDO TURNO DO SUBSTITUTIVO DO SENADO FEDERAL,CD04,ordinary,19,extraordinary,328,4,0,0,0
52-633.tx,2006-12-06T18:30:00,ELEIÇÃO - PARA CARGO DE MINISTRO DO TRIBUNAL DE CONTAS DA UNIÃO,CD04,ordinary,20,extraordinary,0,0,0,0,0
52-634.tx,2006-12-06T21:56:00,REP  Nº 46/2005 - CONTRA O DEPUTADO JOSÉ JANENE - PP/PR,CD04,ordinary,20,extraordinary,210,128,23,0,5
52-635.tx,2006-12-13T13:44:00,PLP  Nº 249/2005 - SUBSTITUTIVO DA COMISSÃO DE FINANÇAS,CD04,ordinary,20,extraordinary,323,19,1,0,0
52-636.tx,2006-12-13T14:24:46,PLP  Nº 249/2005 - EMENDAS COM PARECER FAVORÁVEL,CD04,ordinary,20,extraordinary,266,1,1,0,0
52-637.tx,2006-12-13T17:14:11,PLP  Nº 249/2005 - DVS - ARTIGO 23 DO SUBSTITUTIVO,CD04,ordinary,20,extraordinary,274,91,3,0,0
52-639.tx,2006-12-13T20:17:29,PDC  Nº 1353/2004 - ESCOLHA DO SENHOR LUIZ OTÁVIO PARA CARGO DE MINISTRO DO TCU,CD04,ordinary,21,extraordinary,146,182,13,0,0
52-642.tx,2006-12-20T18:50:27,MPV  Nº 327/2006 - PROJETO DE LEI DE CONVERSÃO,CD04,ordinary,21,extraordinary,247,103,2,0,0
52-614.tx,2006-11-21T18:16:23,MPV  Nº 316/2006 - EMENDA AGLUTINATIVA SUBSTITUTIVA DO ARTIGO 4º,CD04,ordinary,18,ordinary,158,184,4,0,0
52-615.tx,2006-11-22T19:36:49,PLP  Nº 123/2006 - EMENDAS DO SENADO FEDERAL COM PARECER FAVORÁVEL,CD04,ordinary,18,extraordinary,323,0,4,0,0
52-616.tx,2006-11-22T19:53:51,PLP  Nº 123/2004 - EMENDAS DO SENADO FEDERAL COM PARECER CONTRÁRIO,CD04,ordinary,18,extraordinary,5,292,5,0,0
52-617.tx,2006-11-22T20:30:39,PLP  Nº 380/2006 - PROJETO INICIAL,CD04,ordinary,18,extraordinary,339,1,7,0,0
52-619.tx,2006-11-22T21:12:39,PEC  Nº 536/1997 - EMENDAS NºS 1 E 2 COM PARECER PELA REJEIÇÃO,CD04,ordinary,18,extraordinary,7,309,1,0,0
