id,name,abbreviation
4,Bokros Lajos (MoMa),Bokros Lajos
3,Bodnár Zoltán (MLP),Bodnár Zoltán
1,Tarlós István (Fidesz/KDNP),Tarlós István
5,Csárdi Antal (LMP),Csárdi Antal
2,Staudt Gábor (Jobbik),Staudt Gábor
