vote_event_id,voter_id,option
107,4,yes
111,4,no
120,4,yes
108,4,no
110,4,no
103,4,yes
114,4,abstain
117,4,yes
116,4,yes
119,4,yes
105,4,yes
115,4,abstain
118,4,yes
106,4,no
113,4,no
104,4,abstain
112,4,yes
102,4,no
101,4,abstain
109,4,yes
107,3,no
111,3,no
120,3,no
108,3,yes
110,3,no
103,3,yes
114,3,no
117,3,yes
116,3,yes
119,3,yes
105,3,yes
115,3,yes
118,3,yes
106,3,yes
113,3,no
104,3,yes
112,3,yes
102,3,yes
101,3,no
109,3,abstain
107,1,yes
111,1,no
120,1,yes
108,1,yes
110,1,yes
103,1,no
114,1,yes
117,1,abstain
116,1,abstain
119,1,yes
105,1,yes
115,1,no
118,1,no
106,1,no
113,1,yes
104,1,no
112,1,yes
102,1,yes
101,1,yes
109,1,no
107,5,abstain
111,5,abstain
120,5,yes
108,5,no
110,5,no
103,5,yes
114,5,yes
117,5,yes
116,5,yes
119,5,yes
105,5,yes
115,5,yes
118,5,yes
106,5,yes
113,5,no
104,5,no
112,5,yes
102,5,no
101,5,no
109,5,abstain
107,2,abstain
111,2,no
120,2,yes
108,2,no
110,2,abstain
103,2,no
114,2,yes
117,2,yes
116,2,yes
119,2,no
105,2,no
115,2,no
118,2,no
106,2,yes
113,2,abstain
104,2,yes
112,2,yes
102,2,no
101,2,yes
109,2,no
