vote_event_id,voter_id,option
1,1,no
10,1,no
11,1,yes
12,1,no
13,1,no
14,1,no
15,1,abstain
16,1,no
17,1,no
18,1,no
19,1,no
2,1,no
20,1,yes
3,1,yes
4,1,no
5,1,no
6,1,no
7,1,yes
8,1,yes
9,1,no
1,2,no
10,2,no
11,2,yes
12,2,abstain
13,2,yes
14,2,abstain
15,2,yes
16,2,yes
17,2,yes
18,2,abstain
19,2,abstain
2,2,no
20,2,abstain
3,2,no
4,2,no
5,2,abstain
6,2,yes
7,2,abstain
8,2,no
9,2,no
1,3,yes
10,3,no
11,3,yes
12,3,no
13,3,yes
14,3,yes
15,3,abstain
16,3,yes
17,3,yes
18,3,no
19,3,no
2,3,yes
20,3,yes
3,3,yes
4,3,no
5,3,no
6,3,no
7,3,abstain
8,3,no
9,3,no
1,4,no
10,4,no
11,4,yes
12,4,no
13,4,no
14,4,yes
15,4,yes
16,4,yes
17,4,yes
18,4,abstain
19,4,yes
2,4,no
20,4,yes
3,4,yes
4,4,no
5,4,no
6,4,no
7,4,abstain
8,4,no
9,4,abstain
1,5,no
10,5,yes
11,5,no
12,5,no
13,5,yes
14,5,yes
15,5,yes
16,5,yes
17,5,yes
18,5,no
19,5,yes
2,5,no
20,5,yes
3,5,yes
4,5,no
5,5,no
6,5,no
7,5,yes
8,5,no
9,5,no
1,6,yes
10,6,yes
11,6,yes
12,6,no
13,6,no
14,6,yes
15,6,no
16,6,yes
17,6,yes
18,6,yes
19,6,yes
2,6,yes
20,6,yes
3,6,yes
4,6,yes
5,6,no
6,6,yes
7,6,no
8,6,yes
9,6,no
1,7,no
10,7,no
11,7,no
12,7,abstain
13,7,yes
14,7,no
15,7,yes
16,7,yes
17,7,no
18,7,no
19,7,no
2,7,no
20,7,no
3,7,no
4,7,no
5,7,no
6,7,yes
7,7,abstain
8,7,no
9,7,abstain
1,8,no
10,8,no
11,8,no
12,8,no
13,8,yes
14,8,yes
15,8,yes
16,8,no
17,8,yes
18,8,no
19,8,yes
2,8,no
20,8,yes
3,8,yes
4,8,no
5,8,no
6,8,yes
7,8,abstain
8,8,no
9,8,no
1,9,no
10,9,no
11,9,yes
12,9,no
13,9,no
14,9,no
15,9,yes
16,9,yes
17,9,yes
18,9,yes
19,9,abstain
2,9,yes
20,9,abstain
3,9,yes
4,9,no
5,9,no
6,9,no
7,9,abstain
8,9,no
9,9,no
1,10,no
10,10,no
11,10,yes
12,10,no
13,10,no
14,10,no
15,10,yes
16,10,yes
17,10,yes
18,10,yes
19,10,yes
2,10,no
20,10,yes
3,10,no
4,10,no
5,10,no
6,10,yes
7,10,yes
8,10,no
9,10,no
1,11,no
10,11,no
11,11,yes
12,11,no
13,11,yes
14,11,yes
15,11,no
16,11,no
17,11,yes
18,11,no
19,11,no
2,11,yes
20,11,abstain
3,11,yes
4,11,yes
5,11,no
6,11,no
7,11,abstain
8,11,no
9,11,no
1,12,no
10,12,yes
11,12,yes
12,12,no
13,12,yes
14,12,yes
15,12,yes
16,12,yes
17,12,yes
18,12,no
19,12,no
2,12,no
20,12,yes
3,12,no
4,12,no
5,12,no
6,12,no
7,12,yes
8,12,yes
9,12,yes
