id,name,abbreviation,votes
10,Občanská demokratická strana,ODS,yes
12,STAROSTOVÉ A NEZÁVISLÍ,STAN,yes
11,Republika pro Brno,RPB,yes
8,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,yes
9,Moravané pro Brno,Moravané,yes
7,Konzervativní strana,KS,yes
13,Strana svobodných občanů,Svobodní,yes
6,Komunistická strana Čech a Moravy,KSČM,yes
14,Strana zelených,Zelení,yes
16,Úsvit přímé demokracie,Úsvit,yes
17,Žít Brno s podporou Pirátů,ŽBaP,yes
1,A co Brno?,ACB,yes
5,Dělnická strana sociální spravedlnosti - Za zachování nádraží v centru,DSSS a SPE,yes
2,ANO 2011,ANO,yes
15,TOP 09,TOP 09,yes
3,ANTIBURSÍK - STOP EKOTERORU !,Antibursík,no
4,Česká strana sociálně demokratická,ČSSD,no
