id,name,given_name,family_name,gender
198,Anton Zima,Anton,Zima,male
266,Ivan Langer,Ivan,Langer,male
48,Jiří Honajzer,Jiří,Honajzer,male
321,Pavel Maixner,Pavel,Maixner,male
118,Libor Novák,Libor,Novák,male
94,Věnceslav Lukáš,Věnceslav,Lukáš,male
63,Jiří Karas,Jiří,Karas,male
245,Dušan Tešnar,Dušan,Tešnar,male
236,Evžen Snítilý,Evžen,Snítilý,male
46,Čestmír Hofhanzl,Čestmír,Hofhanzl,male
190,Ivan Vrzal,Ivan,Vrzal,male
280,Jan Vidím,Jan,Vidím,male
196,Eduard Zeman,Eduard,Zeman,male
93,Milan Loukota,Milan,Loukota,male
8,Jan Bláha,Jan,Bláha,male
306,Josef Houzák,Josef,Houzák,male
111,Petr Nečas,Petr,Nečas,male
172,Josef Ullmann,Josef,Ullmann,male
332,Blanka Zajícová,Blanka,Zajícová,female
143,Pavel Severa,Pavel,Severa,male
234,Jaromír Schling,Jaromír,Schling,male
291,Dušan Kulka,Dušan,Kulka,male
271,Jana Marcová - Petrová,Jana,Marcová - Petrová,female
309,Pavel Kováčik,Pavel,Kováčik,male
293,Michal Prokop,Michal,Prokop,male
307,Taťána Jirousová,Taťána,Jirousová,female
40,Václav Grulich,Václav,Grulich,male
341,Jiří Černota,Jiří,Černota,male
290,Libor Kudláček,Libor,Kudláček,male
77,Michal Kraus,Michal,Kraus,male
210,Milan Ekert,Milan,Ekert,male
5,Stanislav Bělehrádek,Stanislav,Bělehrádek,male
311,Miloslav Ransdorf,Miloslav,Ransdorf,male
335,Tomáš Kladívko,Tomáš,Kladívko,male
162,Jaroslav Štrait,Jaroslav,Štrait,male
100,Hana Marvanová,Hana,Marvanová,female
287,Roman Češka,Roman,Češka,male
265,Tomáš Květák,Tomáš,Květák,male
260,Michal Frankl,Michal,Frankl,male
264,Ivan Kočárník,Ivan,Kočárník,male
102,Ivan Mašek,Ivan,Mašek,male
259,Vavřinec Fójcik,Vavřinec,Fójcik,male
305,Miroslav Grebeníček,Miroslav,Grebeníček,male
19,Květoslava Čelišová,Květoslava,Čelišová,female
64,Jan Kasal,Jan,Kasal,male
253,Miloš Zeman,Miloš,Zeman,male
246,Miloš Titz,Miloš,Titz,male
273,Jaroslav Plachý,Jaroslav,Plachý,male
277,Karel Sehoř,Karel,Sehoř,male
325,Laura Rajsiglová,Laura,Rajsiglová,female
315,Hana Škorpilová,Hana,Škorpilová,female
312,Zuzka Bebarová Rujbrová,Zuzka,Bebarová Rujbrová,female
308,Zdeněk Klanica,Zdeněk,Klanica,male
328,Rudolf Šmucr,Rudolf,Šmucr,male
208,Rostislav Čevela,Rostislav,Čevela,male
38,Andrej Gjurič,Andrej,Gjurič,male
91,Michal Lobkowicz,Michal,Lobkowicz,male
324,Jana Pešková,Jana,Pešková,female
257,Vlastimil Bařinka,Vlastimil,Bařinka,male
275,Petr Pleva,Petr,Pleva,male
342,František Šnajdauf,František,Šnajdauf,male
12,František Brožík,František,Brožík,male
269,Jiří Papež,Jiří,Papež,male
99,Josef Mandík,Josef,Mandík,male
21,Petr Čermák,Petr,Čermák,male
223,Miloslav Kučera,Miloslav,Kučera,male
330,Petr Vrzáň,Petr,Vrzáň,male
79,Václav Krása,Václav,Krása,male
214,Jiří Hofman,Jiří,Hofman,male
326,Miroslav Sládek,Miroslav,Sládek,male
227,Antonín Macháček,Antonín,Macháček,male
318,Vlasta Hrůzová,Vlasta,Hrůzová,female
261,Zdeňka Horníková,Zdeňka,Horníková,female
299,Josef Lux,Josef,Lux,male
278,Zdeněk Švrček,Zdeněk,Švrček,male
180,Jan Vik,Jan,Vik,male
4,Marek Benda,Marek,Benda,male
270,Jaroslav Pešán,Jaroslav,Pešán,male
217,František Chobot,František,Chobot,male
272,Ivan Pilip,Ivan,Pilip,male
316,Miroslav Vacek,Miroslav,Vacek,male
71,Robert Kolář,Robert,Kolář,male
295,Libor Ambrozek,Libor,Ambrozek,male
87,Oldřich Kužílek,Oldřich,Kužílek,male
340,Vlasta Parkanová,Vlasta,Parkanová,female
204,František Čech,František,Čech,male
226,Vladimír Laštůvka,Vladimír,Laštůvka,male
152,Jan Stráský,Jan,Stráský,male
320,Josef Krejsa,Josef,Krejsa,male
250,Miloslav Vlček,Miloslav,Vlček,male
221,Květoslava Kořínková,Květoslava,Kořínková,female
302,Jaromír Talíř,Jaromír,Talíř,male
336,Milan Kynčl,Milan,Kynčl,male
300,Jaroslav Orel,Jaroslav,Orel,male
298,Pavla Jurková,Pavla,Jurková,female
69,Petr Koháček,Petr,Koháček,male
212,Jana Gavlasová,Jana,Gavlasová,female
301,Michaela Šojdrová,Michaela,Šojdrová,female
296,Josef Borák,Josef,Borák,male
35,Eva Fischerová,Eva,Fischerová,female
54,Josef Janeček,Josef,Janeček,male
304,Jaroslav Gongol,Jaroslav,Gongol,male
36,Václav Frank,Václav,Frank,male
285,Jaroslav Zvěřina,Jaroslav,Zvěřina,male
262,Ondřej Huml,Ondřej,Huml,male
107,Jaroslav Melichar,Jaroslav,Melichar,male
276,Jan Ruml,Jan,Ruml,male
224,Michael Kuneš,Michael,Kuneš,male
139,Anna Röschová,Anna,Röschová,female
322,Jindřich Nehera,Jindřich,Nehera,male
76,František Kozel,František,Kozel,male
136,Svatomír Recman,Svatomír,Recman,male
337,Josef Molín,Josef,Molín,male
274,Ivana Plechatá,Ivana,Plechatá,female
218,Zdeněk Jičínský,Zdeněk,Jičínský,male
16,Petra Buzková,Petra,Buzková,female
197,Ondřej Zemina,Ondřej,Zemina,male
263,Václav Klaus,Václav,Klaus,male
310,Jiří Maštálka,Jiří,Maštálka,male
283,Zdeněk Zajíček,Zdeněk,Zajíček,male
331,Petr Zajíc,Petr,Zajíc,male
215,Josef Hojdar,Josef,Hojdar,male
13,Vladimír Budinský,Vladimír,Budinský,male
281,Jindřich Vodička,Jindřich,Vodička,male
294,Jiří Skalický,Jiří,Skalický,male
333,Jan Grůza,Jan,Grůza,male
95,Karel Mach,Karel,Mach,male
127,Jiří Payne,Jiří,Payne,male
115,Jaroslav Novák,Jaroslav,Novák,male
240,František Španbauer,František,Španbauer,male
339,Miroslav Leština,Miroslav,Leština,male
156,Pavel Šafařík,Pavel,Šafařík,male
228,Karel Machovec,Karel,Machovec,male
209,Pavel Dostál,Pavel,Dostál,male
303,Vojtěch Filip,Vojtěch,Filip,male
268,František Novák,František,Novák,male
105,Dalibor Matulka,Dalibor,Matulka,male
254,Jan Žižka,Jan,Žižka,male
244,Tomáš Teplík,Tomáš,Teplík,male
72,Milena Kolářová,Milena,Kolářová,female
252,Lubomír Zaorálek,Lubomír,Zaorálek,male
241,Vladimír Špidla,Vladimír,Špidla,male
39,Stanislav Gross,Stanislav,Gross,male
314,Petr Šimůnek,Petr,Šimůnek,male
47,Josef Holub,Josef,Holub,male
124,Jaroslav Palas,Jaroslav,Palas,male
239,Zdeněk Škromach,Zdeněk,Škromach,male
256,Drahoslava Bartošková,Drahoslava,Bartošková,female
116,Jiří Novák,Jiří,Novák,male
222,Jan Kostrhun,Jan,Kostrhun,male
164,Vlastimil Tlustý,Vlastimil,Tlustý,male
203,Vladimír Cisár,Vladimír,Cisár,male
193,Miloslav Výborný,Miloslav,Výborný,male
248,Radim Turek,Radim,Turek,male
31,Václav Exner,Václav,Exner,male
297,Vilém Holáň,Vilém,Holáň,male
286,Pavel Bratinka,Pavel,Bratinka,male
22,Jan Černý,Jan,Černý,male
267,Karel Nejezchleb,Karel,Nejezchleb,male
207,Jaroslav Bašta,Jaroslav,Bašta,male
338,Igor Němec,Igor,Němec,male
131,Stanislav Pěnička,Stanislav,Pěnička,male
194,Jozef Wagner,Jozef,Wagner,male
231,Marie Noveská,Marie,Noveská,female
289,Daniel Kroupa,Daniel,Kroupa,male
233,Olga Sehnalová,Olga,Sehnalová,female
219,Miroslav Kapoun,Miroslav,Kapoun,male
327,Martin Smetana,Martin,Smetana,male
110,Václav Nájemník,Václav,Nájemník,male
284,Josef Zieleniec,Josef,Zieleniec,male
128,Tomáš Páv,Tomáš,Páv,male
185,Stanislav Volák,Stanislav,Volák,male
255,Vladimír Bartoš,Vladimír,Bartoš,male
211,Milada Emmerová,Milada,Emmerová,female
329,Oldřich Vrcha,Oldřich,Vrcha,male
238,Václav Svoboda,Václav,Svoboda,male
230,Miloš Melčák,Miloš,Melčák,male
61,Jaromír Kalus,Jaromír,Kalus,male
242,Vlasta Štěpová,Vlasta,Štěpová,female
67,Jan Klas,Jan,Klas,male
334,Vladimír Procházka,Vladimír,Procházka,male
279,Miroslav Tyl,Miroslav,Tyl,male
235,Ladislav Skopal,Ladislav,Skopal,male
15,Eduard Bureš,Eduard,Bureš,male
343,Václav Hrubý,Václav,Hrubý,male
288,Vladimír Dlouhý,Vladimír,Dlouhý,male
251,Jindřiška Zachardová,Jindřiška,Zachardová,female
134,Martin Přibáň,Martin,Přibáň,male
319,Zdeněk Krampera,Zdeněk,Krampera,male
292,Dušan Navrátil,Dušan,Navrátil,male
232,Luděk Polášek,Luděk,Polášek,male
313,Alena Svobodová,Alena,Svobodová,female
181,Jiří Vlach,Jiří,Vlach,male
165,Pavel Tollner,Pavel,Tollner,male
323,Radomíra Nývltová,Radomíra,Nývltová,female
62,Jan Kalvoda,Jan,Kalvoda,male
74,Jan Koucký,Jan,Koucký,male
258,Tomáš Březina,Tomáš,Březina,male
317,Karel Vymětal,Karel,Vymětal,male
216,Petr Hulinský,Petr,Hulinský,male
243,Petr Šulák,Petr,Šulák,male
249,Jiří Václavek,Jiří,Václavek,male
229,Jaroslav Maňásek,Jaroslav,Maňásek,male
89,Karel Ledvinka,Karel,Ledvinka,male
129,Pavel Pešek,Pavel,Pešek,male
170,Jan Třebický,Jan,Třebický,male
122,Hana Orgoníková,Hana,Orgoníková,female
237,Bohuslav Sobotka,Bohuslav,Sobotka,male
213,Miroslav Grégr,Miroslav,Grégr,male
225,Jitka Kupčová,Jitka,Kupčová,female
247,Rudolf Tomíček,Rudolf,Tomíček,male
220,Robert Kopecký,Robert,Kopecký,male
282,Oldřich Vojíř,Oldřich,Vojíř,male
171,Milan Uhde,Milan,Uhde,male
