id,name,candidate_list,party:suggesting,party:member
4017,Branko Doleček,Čtyřkoalice,US-DEU,US-DEU
4112,"Doc.Ing. Zdeněk Trojan, CSc",Česká str.sociálně demokrat.,ČSSD,ČSSD
4122,Hana Žižková,Občanská demokratická strana,ODS,ODS
4027,Ing. Filip Dvořák,Občanská demokratická strana,ODS,ODS
4071,Ing. František Laudát,Občanská demokratická strana,ODS,ODS
4080,Ing. František Stádník,Občanská demokratická strana,ODS,ODS
4111,Ing. Jan Tomčík,Česká str.sociálně demokrat.,ČSSD,ČSSD
4018,Ing. Jiří Dolejš,Komunistická str.Čech a Moravy,KSČM,KSČM
4043,Ing. Jiří Kaňák,Občanská demokratická strana,ODS,ODS
3713,Ing. Jiří Kraft,Česká str.sociálně demokrat.,ČSSD,ČSSD
4061,Ing. Jiří Paroubek,Česká str.sociálně demokrat.,ČSSD,ČSSD
4013,Ing. Josef Dobrý,Česká str.sociálně demokrat.,ČSSD,ČSSD
4058,Ing. Květoslava Kořínková,Česká str.sociálně demokrat.,ČSSD,ČSSD
4057,Ing. Libor Klug,Občanská demokratická strana,ODS,ODS
4038,Ing. Martin Hejl,Občanská demokratická strana,ODS,ODS
4072,Ing. Miloš Máša,Česká str.sociálně demokrat.,ČSSD,ČSSD
4015,Ing. Petr Bratský,Občanská demokratická strana,ODS,ODS
4063,Ing. Petr Krejčí,Občanská demokratická strana,ODS,ODS
4092,Ing. Petr Šafránek,Čtyřkoalice,DEU,DEU
4098,Ing. Petr Švec,Občanská demokratická strana,ODS,ODS
4070,Ing. Tomáš Kubík,Čtyřkoalice,US-DEU,US-DEU
3440,Ing. Tomáš Mikeska,Občanská demokratická strana,ODS,ODS
4079,Ing. Viktor Pázler,Komunistická str.Čech a Moravy,KSČM,KSČM
4036,Ing. Vladimír Göringer,Čtyřkoalice,US-DEU,US-DEU
2923,Ing. Zdeněk Kovářík,Občanská demokratická strana,ODS,ODS
4050,Ing.arch. Jan Kasl,Občanská demokratická strana,ODS,ODS
3371,Jiří Hladík,Občanská demokratická strana,ODS,ODS
4062,Josef Pavlata,Občanská demokratická strana,ODS,ODS
4039,JUDr. František Hoffman,Komunistická str.Čech a Moravy,KSČM,KSČM
4041,"JUDr. Petr Hulinský, Ph.D.",Česká str.sociálně demokrat.,ČSSD,ČSSD
4082,JUDr. Petr Pokorný,Česká str.sociálně demokrat.,ČSSD,ČSSD
4014,JUDr. Rudolf Blažek,Občanská demokratická strana,ODS,ODS
4090,Martin Stránský,Čtyřkoalice,US-DEU,US-DEU
4019,Milan Dratnal,Čtyřkoalice,US-DEU,US-DEU
4044,MUDr. David Karásek,Čtyřkoalice,US-DEU,US-DEU
4035,MUDr. Luděk Fiala,Občanská demokratická strana,ODS,ODS
4040,MUDr. Marián Hošek,Čtyřkoalice,KDU-ČSL,KDU-ČSL
4042,MUDr. Michael Hvížďala,Čtyřkoalice,US-DEU,BEZPP
4037,MUDr. Petr Hanuš,Občanská demokratická strana,ODS,ODS
4089,MUDr. Vladimír Říha,Čtyřkoalice,KDU-ČSL,KDU-ČSL
4056,Otto Kechner,Česká str.sociálně demokrat.,ČSSD,ČSSD
4121,Pavel Žďárský,Občanská demokratická strana,ODS,ODS
4093,Petr Šimůnek,Komunistická str.Čech a Moravy,KSČM,KSČM
4115,Petr Zajíček,Komunistická str.Čech a Moravy,KSČM,KSČM
4095,PhDr. Karel Šplíchal,Česká str.sociálně demokrat.,ČSSD,ČSSD
4084,"PhDr. Miloslav Ransdorf, CSc",Komunistická str.Čech a Moravy,KSČM,KSČM
4097,Radovan Šteiner,Občanská demokratická strana,ODS,ODS
4060,RNDr. Igor Němec,Občanská demokratická strana,ODS,ODS
4002,RNDr. Ivana Bursíková,Čtyřkoalice,US-DEU,US-DEU
4059,RNDr. Jan Koukal,Občanská demokratická strana,ODS,ODS
4114,"RNDr. Jiří Witzany, Ph.D.",Čtyřkoalice,US-DEU,US-DEU
4016,RNDr. Martin Bursík,Čtyřkoalice,KDU-ČSL,BEZPP
4083,RNDr. Milan Press,Čtyřkoalice,US-DEU,US-DEU
3920,RNDr. Miroslav Prokeš,Komunistická str.Čech a Moravy,KSČM,KSČM
4034,RSDr. Libuše Eliášová,Komunistická str.Čech a Moravy,KSČM,KSČM
4081,RSDr. Zdeněk Pernes,Komunistická str.Čech a Moravy,KSČM,BEZPP
4094,Rudolf Školník,Občanská demokratická strana,ODS,ODS
4091,Tomáš Szennai,Čtyřkoalice,ODA,ODA
4113,Tomáš Vrbík,Čtyřkoalice,US-DEU,US-DEU
