id,start_date,motion:title,motion:number,motions:document,sources:link:url,motion:legislative_session,motion:result,counts:option:yes,counts:option:no,counts:option:abstain,counts:number_of_people,counts:present
16643,1998-12-17,Návrh na způsob řešení problematiky výborů Zastupitelstva hl.m. Prahy (F),,638,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18280&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16643,2,,,,,,
16600,1998-12-17,k návrhu na způsob řešení problematiky výborů Zastupitelstva lhl.m. Prahy (F),02/01,638A,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18280&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16600,2,,,,,,
16383,1998-12-17,k rozpočtovému provizoriu - návrhu rozpočtu vlastního hospodaření hl. m. Prahy a vztahům k (F),02/02,636A,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18280&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16383,2,,,,,,
16572,1998-12-17,k zadlužení hl.m. Prahy a potenciálním rizikům rozpočtu hl.m. Prahy na rok 1999 (F),02/03,636B,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18280&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16572,2,,,,,,
16914,1998-12-17,"k navýšení základního jmění První městské banky, a.s. (F)",02/04,649,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18280&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16914,2,,,,,,
16103,1998-12-17,k návrhu na úplatný převod pozemků ve vlastnictví hl.m.Prahy do vlastnictví ČR - ředitelství silnic (F),02/05,652,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18280&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16103,2,,,,,,
16696,1998-12-17,"k návrhu na schválení nemovitých věcí, které jsou nabývány do vlastnictví hl.m. Prahy za účelem (F)",02/06,617,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18280&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16696,2,,,,,,
16550,1998-12-17,"k návrhu na úplatný převod objektu č.p. 133, ul. Trojská č.158, Praha 7, včetně pozemku parc. č. (F)",02/07,629,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18280&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16550,2,,,,,,
16434,1998-12-17,"k návrhu vyhlášky hlavního města Prahy, kterou se doplňuje vyhláška hlavního města Prahy č. (F)",02/08,611,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18280&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16434,2,,,,,,
16552,1998-12-17,"k návrhu vyhlášky hlavního města Prahy, kterou se doplňuje vyhláška hlavního města Prahy č. (F)",02/09,620,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18280&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16552,2,,,,,,
