id,name,abbreviation
1,TOP 09 a Starostové,TOP09+STAN
2,Strana Práv Občanů ZEMANOVCI,SPOZ
3,Česká strana národně sociální,ČSNS
4,Česká pirátská strana,Piráti
5,Dělnická strana sociální spravedlnosti,DSSS
6,SNK Evropští demokraté,SNK-ED
7,Změna pro Královéhradecký kraj,Změna pro K.k.
8,Národní socialisté - levice 21. století,NS-LEV21
9,Občanská demokratická strana,ODS
10,Strana svobodných občanů,Svobodní
11,Komunistická strana Čech a Moravy,KSČM
12,Věci veřejné,VV
13,VÝCHODOČEŠI,Východočeši
14,Česká strana sociálně demokratická,ČSSD
15,Koalice pro Královéhradecký kraj,Koalice pro K.k.
