id,name,abbreviation,result
2,Česká pirátská strana,ČPS,2.49
1,Česká strana sociálně demokratická,ČSSD,27.01
3,Dělnická strana sociální spravedlnosti,DSSS,0.75
4,Foklor i společnost,FiS,0.16
7,Koruna česká,KČ,0.21
5,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,17.03
6,Konzervativní strana,KONS,0.23
8,Komunistická strana Čech a Moravy,KSČM,18.65
9,Moravané,Moravané,1.75
15,Sdružení nestraníků,Nestraníci,3.89
11,Nezávislí,Nezávislí,2.4
12,NEZávislí DEMokraté,NEZDEM,0.49
10,Národní socialisté - levice 21. století,NS-LEV21,0.17
13,Občanská demokratická strana,ODS,9.21
14,"REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA",RSČMS,0.07
20,Suverenita - blok Jany Bobošíkové,SBB,0.82
16,Strana práv občanů Zemanovci,SPOZ,2.45
17,Strana soukromníků České republiky,SSČR,0.23
18,Strana svobodných občanů,SSO,1.35
19,Strana Zelených,SZ,3.68
21,TOP09 a Starostové,TOP09+STAN,5.86
23,"Volte Pravý Blok - stranu za snadnou a rychlou ODVOLATELNOST politiků a státních úředníků PŘÍMO OBČANY, za NÍZKÉ daně, VYROVNANÝ rozpočet, MINIMALIZACI byrokracie, SPRAVEDLIVOU a NEZKORUMPOVANOU policii a justici, REFERENDA a PŘÍMOU demokracii WWW.CIBULKA.NET, kandidující s nejlepším protikriminálním programem PŘÍMÉ demokracie a hlubokého národního, duchovního a mravního obrození VY NEVĚŘÍTE POLITIKŮM A JEJICH NOVINÁŘŮM? NO KONEČNĚ! VĚŘME SAMI SOBĚ!!! - ale i s mnoha dalšími DŮVODY, proč bychom měli jít tentokrát VŠICHNI K VOLBÁM, ale - pokud nechceme být ZNOVU obelháni, podvedeni a okradeni - NEVOLIT ŽÁDNOU PARLAMENTNÍ TUNEL - STRANU vládnoucí (post) komunistické RUSKO - ČESKÉ totalitní FÍZLOKRACIE a jejich likvidační protinárodní politiku ČÍM HŮŘE, TÍM LÉPE!!! - jenž žádá o volební podporu VŠECHNY ČESKÉ OBČANY a daňové poplatníky, kteří chtějí změnit dnešní kriminální poměry, jejichž jsme všichni obětí, v jejich pravý opak! V BOJI MEZI DOBREM A ZLEM, PRAVDOU A LŽÍ, NELZE BÝT NEUTRÁLNÍ A PŘESTO ZŮSTAT SLUŠNÝ!!! Proto děkujeme za Vaši podporu!!! Nevěříte-li na pokoru u popravčí káry, zdá-li se vám naše kandidátka málo dokonalá nebo postrádáte-li na ní zástupce své obce nebo města a přitom MÁTE ODVAHU v této válce Lidí Dobra s vládnoucími Lidmi Zla povstat z jimi naordinovaného občanského bezvědomí, kterým nás ničí a dnešní DEMOKRATURU, SKRYTOU TOTALITU a OTROKÁŘSTVÍ VYŠŠÍHO ŘÁDU zásadním způsobem změnit, KANDIDUJTE ZA NÁS!!! Kontakt: Volte Pravý Blok www.cibulka.net, PO BOX 229, 11121 Praha.",Volte Pravý Blok,0.57
22,Věci veřejné,VV,0.41
