"identifier","start_date","motion:name","motion:number","sources:link:url","motion:document","legislative_session_id","result","counts:option:yes","counts:option:no","counts:option:abstain","number_of_people","present"
"21472","2006-11-30","Schválení pořadu jednání (usnesení)","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21472","1","pass","54","0","0","67","54"
"21473","2006-11-30","Volba návrhového a volebního výboru (usnesení)","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21473","1","pass","57","0","0","67","57"
"21474","2006-11-30","Stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hl.m. Prahy (protinávrh k Z-772-zmatečné)","2","772","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21474","1","fail","9","24","19","67","52"
"21475","2006-11-30","Stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hl.m. Prahy (protinávrh k Z-772)","2","772","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21475","1","fail","8","29","25","67","62"
"21549","2006-11-30","Stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hl.m. Prahy (usnesení k Z-772)","2","772","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21549","1","pass","62","0","3","67","65"
"21550","2006-11-30","K výborům Zastupitelstva hl.m.Prahy (protinávrh k Z-771)","3","771","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21550","1","fail","9","21","30","67","60"
"21551","2006-11-30","K výborům Zastupitelstva hl.m.Prahy (procedurální návrh)","3","771","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21551","1","pass","65","0","1","67","66"
"21552","2006-11-30","K výborům Zastupitelstva hl.m.Prahy (usnesení k Z-771)","3","771","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21552","1","pass","65","0","1","67","66"
"21553","2006-11-30","K výborům Zastupitelstva hl.m.Prahy (usnesení k Z-771)","3","771","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21553","1","pass","64","0","2","67","66"
"21554","2006-11-30","K výborům Zastupitelstva hl.m.Prahy (usnesení k Z-771)","3","771","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21554","1","pass","64","0","2","67","66"
