id,name,candidate_list,party_suggesting,party_member
3165,Alena Samková,Občanská demokratická strana,ODS,ODS
4067,Antonín Ptáček,Občanská demokratická strana,ODS,ODS
3926,Antonín Weinert,Česká str.sociálně demokrat.,ČSSD,ČSSD
3484,Bohumil Zoufalík,Občanská demokratická strana,ODS,ODS
4294,Dagmar Gušlbauerová,Komunistická str.Čech a Moravy,KSČM,KSČM
4065,Dalibor Mlejnský,Občanská demokratická strana,ODS,ODS
3925,David Vodrážka,Občanská demokratická strana,ODS,ODS
4104,Eva Tylová,Strana zelených,SZ,SZ
4027,Filip Dvořák,Občanská demokratická strana,ODS,ODS
4039,František Hoffman,Komunistická str.Čech a Moravy,KSČM,KSČM
4080,František Stádník,Občanská demokratická strana,ODS,ODS
3459,Hana Halová,Česká str.sociálně demokrat.,ČSSD,ČSSD
4122,Hana Žižková,Občanská demokratická strana,ODS,ODS
3452,Iva Kotvová,Strana zelených,SZ,SZ
3444,Ivan Bednář,Občanská demokratická strana,ODS,ODS
3461,Jan Choděra,Česká str.sociálně demokrat.,ČSSD,ČSSD
3167,Jan Slezák,Česká str.sociálně demokrat.,ČSSD,ČSSD
4100,Jan Svátek,Občanská demokratická strana,ODS,ODS
4099,Jana Ryšlinková,SNK Evropští demokraté,SNK ED,BEZPP
4045,Jiří Janeček,Občanská demokratická strana,ODS,ODS
4114,Jiří Witzany,SNK Evropští demokraté,SNK ED,SNK ED
3967,Karel Březina,Česká str.sociálně demokrat.,ČSSD,ČSSD
4293,Karel Hagel,Občanská demokratická strana,ODS,ODS
3269,Karel Jech,Strana zelených,SZ,SZ
3969,Karel Klíma,Česká str.sociálně demokrat.,ČSSD,ČSSD
4047,Ladislav Kouba,Občanská demokratická strana,ODS,ODS
4102,Ladislav Šilha,Občanská demokratická strana,ODS,ODS
4009,Lenka Alinčová,Občanská demokratická strana,ODS,ODS
3460,Lubomír Habrnal,Česká str.sociálně demokrat.,ČSSD,ČSSD
4069,Marcel Rückl,Občanská demokratická strana,ODS,ODS
3230,Marie Kousalíková,Občanská demokratická strana,ODS,ODS
3480,Markéta Reedová,SNK Evropští demokraté,SNK ED,SNK ED
3762,Marta Semelová,Komunistická str.Čech a Moravy,KSČM,KSČM
3471,Martin Langmajer,Občanská demokratická strana,ODS,ODS
4101,Martina Šandová,Občanská demokratická strana,ODS,ODS
4010,Michaela Bartáková,Občanská demokratická strana,ODS,ODS
3689,Milan Jančík,Občanská demokratická strana,ODS,ODS
4049,Milan Macek,Komunistická str.Čech a Moravy,KSČM,KSČM
4066,Milan Pešák,Občanská demokratická strana,ODS,ODS
4684,Milan Richter,Občanská demokratická strana,ODS,ODS
3457,Miloš Gregar,Občanská demokratická strana,ODS,ODS
3472,Miloslav Ludvík,Česká str.sociálně demokrat.,ČSSD,ČSSD
4064,Miloslav Mihálik,Občanská demokratická strana,ODS,ODS
3454,Miroslav Froněk,Občanská demokratická strana,ODS,ODS
3478,Miroslav Poche,Česká str.sociálně demokrat.,ČSSD,ČSSD
3186,Ondřej Pecha,Občanská demokratická strana,ODS,ODS
3447,Pavel Ambrož,Komunistická str.Čech a Moravy,KSČM,KSČM
3632,Pavel Bém,Občanská demokratická strana,ODS,ODS
3184,Pavel Hurda,Občanská demokratická strana,ODS,ODS
3464,Pavel Klega,Občanská demokratická strana,ODS,ODS
4121,Pavel Žďárský,Občanská demokratická strana,ODS,ODS
4041,Petr Hulinský,Česká str.sociálně demokrat.,ČSSD,ČSSD
3538,Petr Kužel,Občanská demokratická strana,ODS,ODS
3346,Petr Štěpánek,Strana zelených,SZ,SZ
4105,Petr Valenta,Občanská demokratická strana,ODS,ODS
4115,Petr Zajíček,Komunistická str.Čech a Moravy,KSČM,KSČM
3970,Petra Kolínská,Strana zelených,SZ,SZ
4048,Radek Lohynský,Občanská demokratická strana,ODS,ODS
4097,Radovan Šteiner,Občanská demokratická strana,ODS,ODS
4014,Rudolf Blažek,Občanská demokratická strana,ODS,ODS
4103,Štěpán Šlosár,Občanská demokratická strana,ODS,ODS
4012,Tomáš Chalupa,Občanská demokratická strana,ODS,ODS
3482,Tomáš Chvála,Občanská demokratická strana,ODS,ODS
4011,Tomáš Homola,SNK Evropští demokraté,SNK ED,SNK ED
4046,Tomáš Kaštovský,Občanská demokratická strana,ODS,ODS
3170,Tomáš Vavřinec,Občanská demokratická strana,ODS,ODS
4079,Viktor Pázler,Komunistická str.Čech a Moravy,KSČM,KSČM
3483,Vladislav Mareček,Občanská demokratická strana,ODS,ODS
4068,Zbyněk Richter,Občanská demokratická strana,ODS,ODS
3644,Zuzana Drhová,Strana zelených,SZ,SZ
