id,name,give_name,family_name,group_id,constituency_id,votes
124,Václav Cempírek,Václav,Cempírek,top-09,48,yes
195,Aleš Dufek,Aleš,Dufek,kdu-csl,78,yes
227,Jiří Šoltys,Jiří,Šoltys,obcane-cr,60,yes
142,Pavel Štohl,Pavel,Štohl,cssd,54,yes
170,Slavomír Bača,Slavomír,Bača,top-09,69,yes
155,Dušan Hluzín,Dušan,Hluzín,top-09,63,yes
32,Petr Martan,Petr,Martan,spo,12,yes
120,Přemysl Škácha,Přemysl,Škácha,ano,45,yes
31,Mario Vlček,Mario,Vlček,ano,12,yes
132,Jiří Havlíček,Jiří,Havlíček,top-09,51,yes
76,Aleš Rykl,Aleš,Rykl,svobodni,27,yes
105,Pavel Trpák,Pavel,Trpák,cssd,39,yes
125,Soňa Hlavová,Soňa,Hlavová,spo,48,yes
236,Stanislav Rudolfský,Stanislav,Rudolfský,hdp,39,yes
78,Vladimír Stwora,Vladimír,Stwora,nb-nd,27,yes
74,Rudolf Mládek,Rudolf,Mládek,oks,27,yes
115,Pavel Křížek,Pavel,Křížek,sz,45,yes
139,Petr Firbas,Petr,Firbas,ano,54,yes
10,Eva Kašová,Eva,Kašová,kscm,6,yes
47,Vladimír Balaš,Vladimír,Balaš,top-09,21,yes
6,Miroslav Nenutil,Miroslav,Nenutil,cssd,3,yes
52,Stanislav Štech,Stanislav,Štech,cssd,21,yes
92,Milan Adamec,Milan,Adamec,ano,36,yes
67,Dagmar Gušlbauerová,Dagmar,Gušlbauerová,kscm,27,yes
85,Josef Holub,Josef,Holub,ods,33,yes
254,Otto Chaloupka,Otto,Chaloupka,republika,30,yes
157,Antonín Prachař,Antonín,Prachař,ano,63,yes
17,Ladislav Cabada,Ladislav,Cabada,top-09,9,yes
81,Rudolf Carvan,Rudolf,Carvan,kscm,30,yes
43,Josef Hála,Josef,Hála,kscm,18,yes
128,Petr Sadovský,Petr,Sadovský,ano,48,yes
71,Eva Jurinová,Eva,Jurinová,republika,27,yes
172,Stanislav Fridrich,Stanislav,Fridrich,ano,69,yes
30,Václav Trojan,Václav,Trojan,svobodni,12,yes
119,Jiří Oliva,Jiří,Oliva,top-09,45,yes
39,Radek Nejezchleb,Radek,Nejezchleb,kscm,15,yes
54,Zuzana Baudyšová,Zuzana,Baudyšová,ano,24,yes
130,František Bradáč,František,Bradáč,kdu-csl,51,yes
114,Jiří Hladík,Jiří,Hladík,doma,45,yes
45,Václav Švenda,Václav,Švenda,top-09,18,yes
80,Jiří Dienstbier,Jiří,Dienstbier,cssd,30,yes
133,Josef Mička,Josef,Mička,spo,51,yes
149,Karel Doležal,Karel,Doležal,cssd,60,yes
3,Pavel Hojda,Pavel,Hojda,kscm,3,yes
