id,abbreviation,name
konzervativni-aliance-2014,Konzervativní aliance 2014,Konzervativní aliance 2014
sz,SZ,Strana zelených
hdp,HDP,Hnutí dobrých proměn
stpo,StPO,Starostové pro občany
nezavisli,Nezávislí,Nezávislí
kscm,KSČM,Komunistická strana Čech a Moravy
ostravak,Ostravak,Ostravak
sscr,SSČR,Strana soukromníků České republiky
svz,SVZ,"Solidarita, vlast a zákon"
apz,APZ,Ano prosperitě Znojemska
ods,ODS,Občanská demokratická strana
kdu-csl,KDU-ČSL,Křesťanská a demokratická unie – Československá strana lidová
obcane-cr,Občané ČR,Občané ČR
t,T,Toryové
sz-pirati,SZ - Piráti,"Strana zelených, Česká pirátská strana"
sp,SP,Strana práce
top-09-stan,TOP 09-STAN,TOP 09-STAN
ka,KA,Kozí alternativa
doma,Doma,Doma
rozumni,Rozumní,Strana zdravého rozumu
pro-kraj,PRO!Kraj,PRO!Kraj
snk-ed,SNK-ED,SNK Evropští demokraté
nezavisly,nezávislý,nezávislý
svobodni,Svobodní,Strana svobodných občanů
mpv,MPV,Město pro vás
ano,ANO,ANO 2011
pirati,Piráti,Česká pirátská strana
nd,ND,Nezávislí demokraté
oks,OKS,Občanská konzervativní strana
nb-nd,NB-ND,NE Bruselu - Národní demokracie
ka2014,KA2014,Konzervativní aliance 2014
domov,Domov,Domov
slk,SLK,Starostové pro Liberecký kraj
nmfm,NMFM,Naše město F-M
antibursik,Antibursík,Antibursík - Stop ekoteroru
top-09,TOP 09,TOP 09
cs,ČS,Česká Suverenita
republika,Republika,Republika
of,OF,Ostravské fórum
stan,STAN,Starostové a nezávislí
usvit,Úsvit,Úsvit přímé demokracie
cssd,ČSSD,Česká strana sociálně demokratická
applzen-cz,APPlzeň.cz,APPlzeň.cz
spo,SPO,Strana Práv Občanů
pro-saz,PRO SaZ,PRO Sport a Zdraví
sd-sn,SD-SN,Spojení demokraté-Sdružení nezávislých
zh,ZH,Zdravé Hradiště
lk,LK,Lepší Kladno
