id,order,motion:text,motion:name
17819,1,"De regering moet vele miljarden bezuinigen. Uiterlijk in 2015 moet het
tekort op de rijksbegroting zijn weggewerkt.",Tekort rijksbegroting
17820,2,Mensen die erg veel verdienen moeten meer belasting betalen dan ze nu doen.,Belasting veelverdieners
17821,3,"De hoogte van de kinderbijslag moet afhankelijk worden van wat iemand
verdient.",Kinderbijslag
17826,4,"Winkeliers moeten helemaal zelf kunnen bepalen of zij hun winkel op
zondag openen.",Winkelopenstelling zondag
17827,5,"Mensen die werkloos worden krijgen een WW-uitkering. Het bedrag moet de
eerste maanden omhoog, maar de totale periode van de uitkering moet veel
korter worden.",WW-uitkering
17828,6,Vanaf 65 jaar krijgt iedereen een AOW-uitkering. Dat moet zo blijven.,AOW
17829,7,Het moet voor werkgevers gemakkelijker worden om werknemers te ontslaan.,Ontslagrecht
17835,8,Alle islamitische scholen in Nederland moeten sluiten.,Islamitische scholen
17837,9,"Er is extra geld nodig voor onderwijs en daarom moet de regering de
studiebeurs afschaffen. Studenten moeten in het vervolg geld lenen voor
hun studie.",Studiebeurs
17838,10,"De overheid betaalt mee aan de publieke televisienetten Nederland 1, 2
en 3. Ten minste één van deze netten moet verdwijnen.",Nederland 1 2 en 3
17839,11,De overheid moet flink bezuinigen op subsidies voor kunst en cultuur.,Subsidies kunst en cultuur
17845,12,In Nederland mogen gewoon nieuwe moskeeën worden gebouwd.,Nieuwe moskeeën
17846,13,"Iemand met een koophuis mag de rente voor de hypotheek van de belasting
aftrekken. Deze regeling moet blijven zoals die nu is.",Hypotheekrente
17848,14,"Te veel mensen met hogere inkomens wonen in sociale huurwoningen. Zij
moeten daarom voor dezelfde woning meer huur gaan betalen dan mensen met
lagere inkomens.",Huur sociale huurwoningen
17849,15,De regering moet extra geld uitgeven voor nieuwe en bredere wegen.,Nieuwe wegen
17850,16,"Autobezit moet goedkoper worden en autogebruik duurder. Daarom moet er
een kilometerheffing komen.",Kilometerheffing
17860,17,"Iedereen moet orgaandonor zijn, tenzij je hier schriftelijk bezwaar
tegen maakt.",Orgaandonor
17866,18,Hulp bij zelfdoding moet onder bepaalde omstandigheden mogelijk zijn.,Hulp bij zelfdoding
17861,19,Er moet meer concurrentie tussen zorginstellingen (marktwerking) komen.,Marktwerking zorg
17812,20,"De koningin heeft een aantal politieke taken. Dat moet veranderen, zodat
ze alleen nog maar ceremoniële taken heeft.",Koningin
17813,21,"Om kiezers meer invloed te geven moeten ze de mogelijkheid hebben via
een referendum beslissingen van de landelijke politiek terug te draaien.",Referendum
17814,22,"Mensen in dienst van de overheid mogen tijdens hun werk geen hoofddoek
dragen.",Hoofddoek
17868,23,Er moeten veel strengere straffen komen voor mensen die geweld gebruiken.,Strengere straffen
17870,24,"De overheid moet de teelt en verkoop van softdrugs voor coffeeshops
legaal maken.",Teelt en verkoop softdrugs
17876,25,"Organisatoren van sportevenementen moeten de inzet van de politie zelf
betalen.",Politie-inzet sportevenementen
17877,26,Nederland moet veel minder geld uitgeven aan ontwikkelingshulp.,Ontwikkelingshulp
17880,27,De regering moet fors bezuinigen op defensie.,Defensie
17853,28,Er moet een verbod komen op zeer grote veestallen (megastallen).,Megastallen
17854,29,"Om het milieu te verbeteren, moet de belasting op vlees flink omhoog.",Belasting vlees
17856,30,Nederland mag een tweede kerncentrale bouwen.,Kerncentrale
