vote_event_id,voter_id,option
1,1,no
10,1,no
11,1,yes
12,1,no
13,1,no
14,1,abstain
15,1,no
16,1,yes
17,1,yes
18,1,yes
19,1,yes
2,1,abstain
3,1,no
4,1,yes
5,1,no
6,1,no
7,1,abstain
8,1,no
9,1,abstain
1,2,no
10,2,no
11,2,yes
12,2,yes
13,2,no
14,2,no
15,2,yes
16,2,yes
17,2,yes
18,2,yes
19,2,yes
2,2,yes
3,2,abstain
4,2,no
5,2,no
6,2,yes
7,2,yes
8,2,no
9,2,no
1,3,no
10,3,no
11,3,yes
12,3,no
13,3,yes
14,3,no
15,3,yes
16,3,yes
17,3,no
18,3,abstain
19,3,abstain
2,3,no
3,3,no
4,3,no
5,3,no
6,3,no
7,3,no
8,3,no
9,3,no
1,4,no
10,4,no
11,4,no
12,4,yes
13,4,yes
14,4,yes
15,4,yes
16,4,abstain
17,4,no
18,4,no
19,4,no
2,4,no
3,4,no
4,4,no
5,4,no
6,4,yes
7,4,no
8,4,no
9,4,yes
1,5,yes
10,5,yes
11,5,yes
12,5,yes
13,5,no
14,5,no
15,5,abstain
16,5,no
17,5,yes
18,5,yes
19,5,yes
2,5,yes
3,5,no
4,5,no
5,5,no
6,5,abstain
7,5,yes
8,5,no
9,5,no
1,6,yes
10,6,yes
11,6,yes
12,6,abstain
13,6,yes
14,6,abstain
15,6,yes
16,6,abstain
17,6,yes
18,6,abstain
19,6,yes
2,6,yes
3,6,abstain
4,6,no
5,6,no
6,6,no
7,6,abstain
8,6,abstain
9,6,no
1,7,no
10,7,yes
11,7,yes
12,7,yes
13,7,yes
14,7,no
15,7,yes
16,7,yes
17,7,yes
18,7,yes
19,7,yes
2,7,yes
3,7,no
4,7,no
5,7,no
6,7,no
7,7,yes
8,7,no
9,7,no
1,8,no
10,8,no
11,8,yes
12,8,no
13,8,no
14,8,yes
15,8,yes
16,8,yes
17,8,yes
18,8,yes
19,8,yes
2,8,yes
3,8,abstain
4,8,abstain
5,8,no
6,8,no
7,8,yes
8,8,no
9,8,no
