id,name,abbreviation,votes
10,"Republikánská strana Čech, Moravy a Slezska",RSČMS,yes
12,Strana svobodných občanů,Svobodní,yes
9,Pro Olomouc,Pro Olomouc,yes
7,Občanská demokratická strana,ODS,yes
6,Občané pro Olomouc,Občané pro Olomouc,yes
14,Úsvit přímé demokracie,Úsvit,yes
4,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)",KČ,yes
2,Česká strana sociálně demokratická,ČSSD,yes
13,TOP 09,TOP 09,yes
1,ANO 2011,ANO,yes
5,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,yes
11,Strana Práv Občanů,SPO,yes
8,Patrioti PRO Olomouc,Patrioti PRO Olomouc,yes
3,Komunistická strana Čech a Moravy,KSČM,no
