id,name,given_name,family_name,gender
5467,Věra Jakubková,Věra,Jakubková,female
5379,Jan Bauer,Jan,Bauer,male
5448,Jan Bürgermeister,Jan,Bürgermeister,male
419,Karel Šplíchal,Karel,Šplíchal,male
5256,Petr Bratský,Petr,Bratský,male
5258,Helena Mallotová,Helena,Mallotová,female
5506,Karel Šidlo,Karel,Šidlo,male
5496,Juraj Raninec,Juraj,Raninec,male
5477,Vladimíra Lesenská,Vladimíra,Lesenská,female
5775,Pavel Němec,Pavel,Němec,male
5867,Libor Nowak,Libor,Nowak,male
5376,Petr Tluchoř,Petr,Tluchoř,male
5320,Hana Šedivá,Hana,Šedivá,female
377,Miroslav Kalousek,Miroslav,Kalousek,male
5415,Cyril Zapletal,Cyril,Zapletal,male
5449,Jiří Carbol,Jiří,Carbol,male
5501,František Sivera,František,Sivera,male
372,Radim Chytka,Radim,Chytka,male
273,Jaroslav Plachý,Jaroslav,Plachý,male
301,Michaela Šojdrová,Michaela,Šojdrová,female
5465,Jaromír Chalupa,Jaromír,Chalupa,male
390,Tomáš Kvapil,Tomáš,Kvapil,male
261,Zdeňka Horníková,Zdeňka,Horníková,female
5512,Boris Šťastný,Boris,Šťastný,male
239,Zdeněk Škromach,Zdeněk,Škromach,male
5342,Robin Böhnisch,Robin,Böhnisch,male
5516,Tomáš Úlehla,Tomáš,Úlehla,male
5480,Ondřej Liška,Ondřej,Liška,male
122,Hana Orgoníková,Hana,Orgoníková,female
5274,Ivana Levá,Ivana,Levá,female
5277,Miloš Patera,Miloš,Patera,male
269,Jiří Papež,Jiří,Papež,male
5460,Dana Filipi,Dana,Filipi,female
282,Oldřich Vojíř,Oldřich,Vojíř,male
430,Tom Zajíček,Tom,Zajíček,male
5261,Jiří Dolejš,Jiří,Dolejš,male
5402,Vítězslav Jandák,Vítězslav,Jandák,male
266,Ivan Langer,Ivan,Langer,male
312,Zuzka Bebarová Rujbrová,Zuzka,Bebarová Rujbrová,female
5444,Jan Babor,Jan,Babor,male
363,Václav Grüner,Václav,Grüner,male
295,Libor Ambrozek,Libor,Ambrozek,male
4778,Stanislav Grospič,Stanislav,Grospič,male
250,Miloslav Vlček,Miloslav,Vlček,male
5494,Přemysl Rabas,Přemysl,Rabas,male
5489,Ondřej Plašil,Ondřej,Plašil,male
5562,Zdeněk Kotouš,Zdeněk,Kotouš,male
366,Pavel Hojda,Pavel,Hojda,male
5447,Vlasta Bohdalová,Vlasta,Bohdalová,female
