id,name,abbreviation
750,Poslanecký klub České strany sociálně demokratické,ČSSD
856,Nezařazení,Nezařaz
852,Poslanecký klub Strany zelených,SZ
753,Poslanecký klub Občanské demokratické strany,ODS
752,Poslanecký klub Komunistické strany Čech a Moravy,KSČM
751,Poslanecký klub Křesťanské a demokratické unie-Československé strany lidové,KDU-ČSL
