id,date,motion:title,motion:legislative_session,motion:legislative_session_type,motion:session,motion:session_type,count:yes,count:no,count:abstain,count:obstraction,count:blank
53-478.tx,2010-12-01T18:30:23,MPV  Nº 501/2010 - REQ. DE ADIAMENTO DA DISCUSSÃO POR 2 SESSÕES,CD04,ordinary,20,ordinary,29,230,0,51,0
53-484.tx,2010-12-01T22:48:02,"PL   Nº 5940/2009 - ARTS 1 A 46, 47 EX INC V, ARTS 48 A 63 C/ PARECER APROV",CD04,ordinary,21,extraordinary,204,66,2,3,0
53-490.tx,2010-12-02T00:27:51,REQ  Nº 7447/2010 - URGÊNCIA P/ PLP 591/2010,CD04,ordinary,21,extraordinary,262,1,4,1,0
53-492.tx,2010-12-07T17:19:02,REQ  Nº 7513/2010 - URGÊNCIA P/ PLP 352/2002,CD04,ordinary,21,extraordinary,286,11,1,1,0
53-493.tx,2010-12-07T18:34:21,REQ  Nº 7535/2010 - URGÊNCIA P/ PL 2944/2004,CD04,ordinary,21,extraordinary,226,120,1,0,0
53-494.tx,2010-12-07T19:28:33,PLP  Nº 352/2002 - REQUERIMENTO DE RETIRADA DE PAUTA,CD04,ordinary,21,extraordinary,5,121,4,34,0
53-498.tx,2010-12-08T19:35:32,REQ  Nº 7546/2010 - URGÊNCIA PARA O PL 2.944/2004,CD04,ordinary,21,extraordinary,258,98,3,1,0
53-500.tx,2010-12-08T20:29:45,PLP  Nº 352/2002 - EMENDA SUBSTITUTIVA GLOBAL Nº 1,CD04,ordinary,21,extraordinary,340,7,2,1,0
53-505.tx,2010-12-14T20:55:40,PL   Nº 2944/2004 - SUBEMENDA SUBSTITUTIVA ÀS EMENDAS DE PLENÁRIO,CD04,ordinary,22,extraordinary,144,212,5,4,0
53-507.tx,2010-12-14T22:28:16,PEC  Nº 507/2010 - 1º TURNO,CD04,ordinary,22,extraordinary,327,1,1,1,0
53-508.tx,2010-12-14T23:34:43,PEC  Nº 507/2010 - 2º TURNO,CD04,ordinary,22,extraordinary,318,1,0,1,0
53-510.tx,2010-12-15T14:45:20,REQ  Nº 7575/2010 - REQUERIMENTO DE URGÊNCIA (PDC 3036/2010),CD04,ordinary,22,extraordinary,279,35,3,0,0
53-514.tx,2010-12-15T18:39:19,PLV  Nº 16/2010 - ARTS. 8º A 18 PLV 16/2010 DO SENADO FEDERAL (MPV 499/2010),CD04,ordinary,22,extraordinary,183,88,1,1,0
53-435.tx,2010-11-09T17:51:45,MPV  Nº 493/2010 - REQUERIMENTO DE RETIRADA DE PAUTA,CD04,ordinary,18,ordinary,30,232,0,21,0
53-437.tx,2010-11-09T19:12:31,"MPV  Nº 493/2010 - DVS - PSDB - EXPR. ""INSTITUTO... INEP"" - ART. 3º MPV",CD04,ordinary,18,ordinary,234,64,1,2,0
53-465.tx,2010-11-23T19:43:00,MPV  Nº 495/2010 - PARECER DO RELATOR PELA ADMISSIBILIDADE,CD04,ordinary,20,ordinary,259,70,2,1,0
53-423.tx,2010-08-03T18:04:50,MPV  Nº 487/2010 - REQUERIMENTO DE RETIRADA DE PAUTA,CD04,ordinary,16,ordinary,3,257,0,37,0
53-427.tx,2010-08-04T18:25:09,MPV  Nº 487/2010 - REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 1 SESSÃO,CD04,ordinary,16,ordinary,5,260,1,24,0
53-431.tx,2010-08-04T19:56:03,MPV  Nº 487/2010 - PARECER DO RELATOR PELA ADMISSIBILIDADE,CD04,ordinary,16,ordinary,196,9,0,25,0
53-398.tx,2010-07-06T18:13:22,MPV  Nº 483/2010 - REQUERIMENTO DE RETIRADA DE PAUTA,CD04,ordinary,15,ordinary,5,212,2,26,0
53-399.tx,2010-07-06T19:21:13,MPV  Nº 483/2010 - REQUERIMENTO DE RETIRADA DE PAUTA,CD04,ordinary,15,extraordinary,8,247,4,29,0
