id,abbreviation,name
pr,PR,Partido da República
pmr,PMR,Partido Municipalista Renovador
ptb,PTB,Partido Trabalhista Brasileiro
prona,PRONA,Partido de Reedificação da Ordem Nacional
ppl,PPL,Partido Patria Livre
psol,PSOL,Partido Socialismo e Liberdade
prn,PRN,Partido de la Reconstrucción Nacional
solidaried,Solidaried,Solidariedade
pstu,PSTU,Partido Socialista dos Trabalhadores Unificado
pp,PP,Partido Progressista
psb,PSB,Partido Socialista Brasileiro
pmn,PMN,Partido da Mobilização Nacional
prb,PRB,Partido Republicano Brasileiro
pen,PEN,Partido Ecológico Nacional
pst,PST,Partido Social Trabalhista
ptdob,PTdoB,Partido Trabalhista do Brasil
pmdb,PMDB,Partido do Movimento Democrático Brasileiro
ptr,PTR,Partido Trabalhista Reformador
pfl,PFL,Partido da Frente Liberal
pan,PAN,Partido dos Aposentados da Nação
phs,PHS,Partido Humanista da Solidariedade
pps,PPS,Partido Popular Socialista
pcb,PCB,Partido Comunista Brasileiro
pros,PROS,Partido Republicano da Ordem Social
prtb,PRTB,Partido Renovador Trabalhista Brasileiro
sdd,SDD,Solidariedade
ptn,PTN,Partido Trabalhista Nacional
ppr,PPR,Partido Progressista Renovador
pl,PL,Partido Liberal
prp,PRP,Partido Republicano Progressista
ptc,PTC,Partido Trabalhista Cristão
dem,DEM,Democratas
pdc,PDC,Partido Democrata Cristão
psl,PSL,Partido Social Liberal
pt,PT,Partido dos Trabalhadores
prs,PRS,Partido das Reformas Sociais
pcdob,PCdoB,Partido Comunista do Brasil
psdc,PSDC,Partido Social Democrata Cristão
pds,PDS,Partido Democrático Social
psd,PSD,Partido Social Democrata
pv,PV,Partido Verde
pdt,PDT,Partido Democrático Trabalhista
ppb,PPB,Partido Progressista Brasileiro
s-part,S.Part.,Sem partido
psc,PSC,Partido Social Cristão
psdb,PSDB,Partido da Social Democracia Brasileira
