id,name,state
53-1,ANGELA PORTELA,Roraima
53-2,EDIO LOPES,Roraima
53-3,FRANCISCO RODRIGUES,Roraima
53-4,LUCIANO CASTRO,Roraima
53-5,MARIA HELENA,Roraima
53-6,MARCIO JUNQUEIRA,Roraima
53-7,NEUDO CAMPOS,Roraima
53-8,URZENI ROCHA,Roraima
53-9,DALVA FIGUEIREDO,Amapá
53-10,DAVI ALCOLUMBRE,Amapá
53-11,EVANDRO MILHOMEN,Amapá
53-12,FÁTIMA PELAES,Amapá
53-14,JURANDIL JUAREZ,Amapá
53-15,LUCENIRA PIMENTEL,Amapá
53-16,JANETE CAPIBERIBE,Amapá
53-17,SEBASTIÃO BALA ROCHA,Amapá
53-18,BEL MESQUITA,Pará
53-19,BETO FARO,Pará
53-20,ASDRUBAL BENTES,Pará
53-21,ELCIONE BARBALHO,Pará
53-22,JADER BARBALHO,Pará
53-23,WLADIMIR COSTA,Pará
53-25,ZÉ GERALDO,Pará
53-26,GERSON PERES,Pará
53-27,GIOVANNI QUEIROZ,Pará
53-28,LIRA MAIA,Pará
53-29,LÚCIO VALE,Pará
53-30,PAULO ROCHA,Pará
53-31,NILSON PINTO,Pará
53-32,WANDENKOLK GONÇALVES,Pará
53-33,ZEQUINHA MARINHO,Pará
53-34,ZENALDO COUTINHO,Pará
53-35,VIC PIRES FRANCO,Pará
53-36,MARCELO SERAFIM,Amazonas
53-37,CARLOS SOUZA,Amazonas
53-38,ÁTILA LINS,Amazonas
53-39,SILAS CÂMARA,Amazonas
53-40,VANESSA GRAZZIOTIN,Amazonas
53-41,PRACIANO,Amazonas
53-42,REBECCA GARCIA,Amazonas
53-43,SABINO CASTELO BRANCO,Amazonas
53-44,ERNANDES AMORIM,Rondonia
53-45,LINDOMAR GARÇON,Rondonia
53-46,MAURO NAZIF,Rondonia
53-47,ANSELMO DE JESUS,Rondonia
53-48,EDUARDO VALVERDE,Rondonia
53-49,MOREIRA MENDES,Rondonia
53-50,MARINHA RAUPP,Rondonia
53-51,NATAN DONADON,Rondonia
53-52,HENRIQUE AFONSO,Acre
53-53,FERNANDO MELO,Acre
53-54,FLAVIANO MELO,Acre
53-55,GLADSON CAMELI,Acre
53-56,PERPÉTUA ALMEIDA,Acre
53-57,NILSON MOURÃO,Acre
53-58,ILDERLEI CORDEIRO,Acre
53-59,SERGIO PETECÃO,Acre
53-60,EDUARDO GOMES,Tocantins
53-61,JOÃO OLIVEIRA,Tocantins
53-62,LAUREZ MOREIRA,Tocantins
53-63,LÁZARO BOTELHO,Tocantins
53-64,MOISES AVELINO,Tocantins
53-65,OSVALDO REIS,Tocantins
53-66,NILMAR RUIZ,Tocantins
53-67,VICENTINHO ALVES,Tocantins
53-68,CARLOS BRANDÃO,Maranhão
53-70,CLEBER VERDE,Maranhão
53-71,DAVI ALVES SILVA JUNIOR,Maranhão
53-72,DOMINGOS DUTRA,Maranhão
53-73,CLÓVIS FECURY,Maranhão
53-74,RIBAMAR ALVES,Maranhão
53-75,GASTÃO VIEIRA,Maranhão
53-76,FLÁVIO DINO,Maranhão
53-77,JULIÃO AMIN,Maranhão
53-78,NICE LOBÃO,Maranhão
53-79,PINTO ITAMARATY,Maranhão
53-80,PEDRO FERNANDES,Maranhão
53-81,PROFESSOR SETIMO,Maranhão
53-82,PEDRO NOVAIS,Maranhão
53-83,ROBERTO ROCHA,Maranhão
53-84,WALDIR MARANHÃO,Maranhão
53-85,SARNEY FILHO,Maranhão
53-86,SEBASTIÃO MADEIRA,Maranhão
53-87,ANÍBAL GOMES,Ceará
53-88,CHICO LOPES,Ceará
53-89,CIRO GOMES,Ceará
53-90,ARNON BEZERRA,Ceará
53-91,EUDES XAVIER,Ceará
53-92,ARIOSTO HOLANDA,Ceará
53-93,EUGÊNIO RABELO,Ceará
53-94,FLÁVIO BEZERRA,Ceará
53-95,EUNÍCIO OLIVEIRA,Ceará
53-96,JOSÉ LINHARES,Ceará
53-97,JOSÉ PIMENTEL,Ceará
53-98,LÉO ALCÂNTARA,Ceará
53-99,MARCELO TEIXEIRA,Ceará
53-100,GORETE PEREIRA,Ceará
53-101,JOSÉ AIRTON CIRILO,Ceará
53-102,RAIMUNDO GOMES DE MATOS,Ceará
53-103,JOSÉ GUIMARÃES,Ceará
53-104,MANOEL SALVIANO,Ceará
53-105,MAURO BENEVIDES,Ceará
53-106,PAULO HENRIQUE LUSTOSA,Ceará
53-107,VICENTE ARRUDA,Ceará
53-108,ZÉ GERARDO,Ceará
53-109,ÁTILA LIRA,Piauí
53-110,MARCELO CASTRO,Piauí
53-111,ALBERTO SILVA,Piauí
53-112,CIRO NOGUEIRA,Piauí
53-113,ANTONIO JOSÉ MEDEIROS,Piauí
53-114,JÚLIO CESAR,Piauí
53-115,NAZARENO FONTELES,Piauí
53-116,OSMAR JÚNIOR,Piauí
53-117,MUSSA DEMES,Piauí
53-118,PAES LANDIM,Piauí
53-119,FÁBIO FARIA,Rio Grande do Norte
53-120,FELIPE MAIA,Rio Grande do Norte
53-121,FÁTIMA BEZERRA,Rio Grande do Norte
53-122,NÉLIO DIAS,Rio Grande do Norte
53-123,HENRIQUE EDUARDO ALVES,Rio Grande do Norte
53-124,JOÃO MAIA,Rio Grande do Norte
53-125,SANDRA ROSADO,Rio Grande do Norte
53-126,ROGÉRIO MARINHO,Rio Grande do Norte
53-127,DAMIÃO FELICIANO,Paraíba
53-128,EFRAIM FILHO,Paraíba
53-129,ARMANDO ABÍLIO,Paraíba
53-130,MANOEL JUNIOR,Paraíba
53-131,MARCONDES GADELHA,Paraíba
53-132,RÔMULO GOUVEIA,Paraíba
53-133,LUIZ COUTO,Paraíba
53-134,VITAL DO RÊGO FILHO,Paraíba
53-135,RONALDO CUNHA LIMA,Paraíba
53-136,WELLINGTON ROBERTO,Paraíba
53-137,WILSON SANTIAGO,Paraíba
53-138,MAURÍCIO RANDS,Pernambuco
53-139,WILSON BRAGA,Paraíba
53-140,ANA ARRAES,Pernambuco
53-141,FERNANDO FERRO,Pernambuco
53-142,ANDRÉ DE PAULA,Pernambuco
53-143,GONZAGA PATRIOTA,Pernambuco
53-144,ARMANDO MONTEIRO,Pernambuco
53-145,INOCÊNCIO OLIVEIRA,Pernambuco
53-146,BRUNO ARAÚJO,Pernambuco
53-147,JOSÉ CHAVES,Pernambuco
53-148,PAULO RUBEM SANTIAGO,Pernambuco
53-149,JOSÉ MENDONÇA BEZERRA,Pernambuco
53-150,JOSÉ MÚCIO MONTEIRO,Pernambuco
53-151,BRUNO RODRIGUES,Pernambuco
53-152,CARLOS EDUARDO CADOCA,Pernambuco
53-153,CARLOS WILSON,Pernambuco
53-154,EDGAR MOURY,Pernambuco
53-155,RAUL JUNGMANN,Pernambuco
53-156,EDUARDO DA FONTE,Pernambuco
53-157,RENILDO CALHEIROS,Pernambuco
53-158,FERNANDO COELHO FILHO,Pernambuco
53-159,ROBERTO MAGALHÃES,Pernambuco
53-160,MARCOS ANTONIO,Pernambuco
53-161,PEDRO EUGÊNIO,Pernambuco
53-162,BENEDITO DE LIRA,Alagoas
53-163,RAUL HENRY,Pernambuco
53-164,WOLNEY QUEIROZ,Pernambuco
53-165,CARLOS ALBERTO CANUTO,Alagoas
53-166,GIVALDO CARIMBÃO,Alagoas
53-167,CRISTIANO MATHEUS,Alagoas
53-168,MAURÍCIO QUINTELLA LESSA,Alagoas
53-169,FRANCISCO TENORIO,Alagoas
53-170,GERÔNIMO DA ADEFAL,Alagoas
53-171,OLAVO CALHEIROS,Alagoas
53-172,JOAQUIM BELTRÃO,Alagoas
53-173,ALBANO FRANCO,Sergipe
53-174,JACKSON BARRETO,Sergipe
53-175,EDUARDO AMORIM,Sergipe
53-176,JERÔNIMO REIS,Sergipe
53-177,IRAN BARBOSA,Sergipe
53-178,JOSÉ CARLOS MACHADO,Sergipe
53-179,MENDONÇA PRADO,Sergipe
53-180,ALICE PORTUGAL,Bahia
53-181,ANTONIO CARLOS MAGALHÃES NETO,Bahia
53-182,LUIZ BASSUMA,Bahia
53-183,VALADARES FILHO,Sergipe
53-184,COLBERT MARTINS,Bahia
53-185,GERALDO SIMÕES,Bahia
53-186,CLAUDIO CAJADO,Bahia
53-187,JOÃO CARLOS BACELAR,Bahia
53-188,DANIEL ALMEIDA,Bahia
53-189,EDSON DUARTE,Bahia
53-190,FÁBIO SOUTO,Bahia
53-191,FÉLIX MENDONÇA,Bahia
53-192,JUSMARI OLIVEIRA,Bahia
53-193,GEDDEL VIEIRA LIMA,Bahia
53-194,FERNANDO DE FABINHO,Bahia
53-195,GUILHERME MENEZES,Bahia
53-196,LÍDICE DA MATA,Bahia
53-197,JOSÉ CARLOS ARAÚJO,Bahia
53-198,JOÃO ALMEIDA,Bahia
53-199,JOÃO LEÃO,Bahia
53-200,MARCOS MEDRADO,Bahia
53-201,JORGE KHOURY,Bahia
53-202,JOSÉ CARLOS ALELUIA,Bahia
53-203,JOSÉ ROCHA,Bahia
53-204,LUIZ ALBERTO,Bahia
53-205,LUIZ CARREIRA,Bahia
53-206,JUTAHY JUNIOR,Bahia
53-207,MARCELO GUIMARÃES FILHO,Bahia
53-208,MAURÍCIO TRINDADE,Bahia
53-209,NELSON PELLEGRINO,Bahia
53-210,MÁRIO NEGROMONTE,Bahia
53-211,ROBERTO BRITTO,Bahia
53-212,SÉRGIO BARRADAS CARNEIRO,Bahia
53-213,SÉRGIO BRITO,Bahia
53-214,PAULO MAGALHÃES,Bahia
53-215,SEVERIANO ALVES,Bahia
53-216,TONHA MAGALHÃES,Bahia
53-217,ZEZÉU RIBEIRO,Bahia
53-218,WALTER PINHEIRO,Bahia
53-219,VELOSO,Bahia
53-220,ADEMIR CAMILO,Minas Gerais
53-221,BONIFÁCIO DE ANDRADA,Minas Gerais
53-222,CARLOS WILLIAN,Minas Gerais
53-223,ARACELY DE PAULA,Minas Gerais
53-224,AELTON FREITAS,Minas Gerais
53-225,ALEXANDRE SILVEIRA,Minas Gerais
53-226,CARLOS MELLES,Minas Gerais
53-227,ANTÔNIO ANDRADE,Minas Gerais
53-228,CUSTÓDIO MATTOS,Minas Gerais
53-229,ANTÔNIO ROBERTO,Minas Gerais
53-230,EDUARDO BARBOSA,Minas Gerais
53-231,EDMAR MOREIRA,Minas Gerais
53-232,BILAC PINTO,Minas Gerais
53-233,FERNANDO DINIZ,Minas Gerais
53-234,GILMAR MACHADO,Minas Gerais
53-235,CIRO PEDROSA,Minas Gerais
53-236,GERALDO THADEU,Minas Gerais
53-237,ELISMAR PRADO,Minas Gerais
53-238,FÁBIO RAMALHO,Minas Gerais
53-239,JOÃO MAGALHÃES,Minas Gerais
53-240,JAIME MARTINS,Minas Gerais
53-241,GEORGE HILTON,Minas Gerais
