id,start_date,motion:title,motion:legislative_session
61-711,2012-04-25,"DECRETO QUE REFORMA Y ADICIONA LOS ARTICULOS 73, 74, 79, 116 Y 122 DE LA CONSTITUCION POLITICA DE LOS ESTADOS UNIDOS MEXICANOS (EN LO PARTICULAR EL ARTICULO 79 EN SUS TERMINOS)",Segundo Periodo de Sesiones Ordinarias del Tercer Año
61-729,2012-04-27,DECRETO QUE REFORMA Y ADICIONA DIVERSAS DISPOSICIONES DE LA LEY DEL SEGURO SOCIAL Y DE LA LEY DEL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO (EN LO GENERAL Y EN LO PARTICULAR)(1),Segundo Periodo de Sesiones Ordinarias del Tercer Año
61-197,2010-11-15,PRESUPUESTO DE EGRESOS DE LA FEDERACION PARA EL EJERCICIO FISCAL 2011 (SI SE ADMITE A DISCUSION LA PROPUESTA DEL DIP. ADAN AUGUSTO ),Primer Período de Sesiones Ordinarias del Segundo Año
61-307,2011-04-06,DECRETO QUE REFORMA LA FRACCION I DEL ARTICULO 1080 Y EL PARRAFO SEGUNDO DEL ARTICULO  1255 DEL CODIGO DE COMERCIO (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año
61-306,2011-03-31,DECRETO QUE REFORMA EL ARTICULO 11 DE LA LEY GENERAL DE INFRAESTRUCTURA FISICA EDUCATIVA (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año
61-305,2011-03-31,DECRETO QUE REFORMA Y ADICIONA DIVERSAS DISPOSICIONES DE LA LEY FEDERAL DE PRESUPUESTO Y RESPONSABILIDAD HACENDARIA (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año
61-304,2011-03-31,ELECCION DE LA TERCERA VICEPRESIDENCIA DE LA MESA DIRECTIVA DEL 31 DE MARZO AL 31 AGOSTO DE 2011  (SI SE APRUEBA),Segundo Período de Sesiones Ordinarias del Segundo Año
61-303,2011-03-29,DIECISIETE DICTAMENES EN SENTIDO NEGATIVO (SI SE APRUEBAN),Segundo Período de Sesiones Ordinarias del Segundo Año
61-302,2011-03-29,CUATRO DICTAMENES DE PUNTOS DE ACUERDO DE DIVERSAS COMISIONES (SI SE APRUEBAN),Segundo Período de Sesiones Ordinarias del Segundo Año
61-301,2011-03-29,ONCE DICTAMENES DE PUNTOS DE ACUERDO DE DIVERSAS COMISIONES (SI SE APRUEBAN),Segundo Período de Sesiones Ordinarias del Segundo Año
