id,name,abbreviation
pri,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI
na,PARTIDO NUEVA ALIANZA,NA
pt,PARTIDO DEL TRABAJO,PT
mc,MOVIMIENTO CIUDADANO,MC
pan,PARTIDO ACCIÓN NACIONAL,PAN
pvem,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM
ind,DIPUTADOS SIN PARTIDO,IND
prd,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD
