id,name
partido-anticorrupcion,Partido Anticorrupcion 
partido-nacional,Partido Nacional
partido-unificacion-democratica-ud,Partido Unificación Democrática UD
partido-liberal,Partido Liberal
partido-independiente,Partido Independiente 
partido-innovacion-y-unidad-pinu,Partido Innovación y Unidad PINU
partido-libertad-y-refundacion,Partido Libertad y Refundacion 
democracia-cristiana-dc,Democracia Cristiana DC
