jihocesky-kraj,Jihočeský kraj
jihomoravsky-kraj,Jihomoravský kraj
karlovarsky-kraj,Karlovarský kraj
kralovehradecky-kraj,Královéhradecký kraj
liberecky-kraj,Liberecký kraj
moravskoslezsky-kraj,Moravskoslezský kraj
olomoucky-kraj,Olomoucký kraj
pardubicky-kraj,Pardubický kraj
plzensky-kraj,Plzeňský kraj
stredocesky-kraj,Středočeský kraj
ustecky-kraj,Ústecký kraj
vysocina,Vysočina
zlinsky-kraj,Zlínský kraj
