id,order,motion:text,motion:name
20340,1,Het tekort op de begroting mag in 2013 niet meer dan 3% bedragen.,Tekort begroting
20335,2,Het aantal leden van de Tweede Kamer moet 150 blijven.,Aantal Tweede Kamerleden
20336,3,Alle coffeeshops in Nederland moeten dicht.,Coffeeshops
20338,4,"Er moeten minimumstraffen komen. Rechters hebben dan minder vrijheid in
het opleggen van straffen.",Minimumstraffen
20343,5,"Gemeenten moeten zelf kunnen bepalen of de winkels op zondag open mogen
zijn.",Winkelsluiting
20344,6,"De regering moet de reiskostenvergoeding gaan belasten, ook voor
openbaar vervoer.",Reiskostenvergoeding
20347,7,Er moet Europees toezicht op banken komen.,Toezicht banken
20342,8,De hoogte van de kinderbijslag moet afhangen van het inkomen.,Kinderbijslag
20348,9,"De periode dat iemand een WW-uitkering krijgt moet veel korter worden,
maar het bedrag moet de eerste maanden wel omhoog.",WW-uitkering
20349,10,"De leeftijd waarop iemand AOW krijgt moet 65 jaar blijven, in ieder
geval tot 2020.",AOW-leeftijd
20351,11,Het moet voor werkgevers gemakkelijker worden om werknemers te ontslaan.,Ontslagrecht
20354,12,"De regering moet de studiebeurs afschaffen. Studenten moeten voortaan
geld lenen voor hun studie.",Studiebeurs
20357,13,"Het publieke bestel van radio en tv met omroepverenigingen moet blijven
bestaan.",Publieke omroep
20358,14,Het auteursrecht op internet moet streng worden gehandhaafd.,Auteursrecht internet
20359,15,"Migranten mogen na aankomst in Nederland voorlopig geen
bijstandsuitkering krijgen.",Bijstand migranten
20368,16,De regering moet flink bezuinigen op de aanleg van nieuwe wegen.,Nieuwe wegen
20360,17,De bouw van nieuwe moskeeën moet stoppen.,Nieuwe moskeeën
20367,18,"De verhoging van de maximumsnelheid op sommige snelwegen naar 130 km
moet worden teruggedraaid.",Maximumsnelheid
20361,19,De aftrek van de hypotheekrente moet niet verder worden beperkt.,Hypotheekrente
20362,20,Verhuurders van woningen moeten zelf kunnen bepalen hoeveel huur ze vragen.,Huur woningen
20370,21,De belasting op vlees moet flink omhoog.,Belasting vlees
20365,22,"In de Randstad moeten meer woningen komen, eventueel ook in groene gebieden.",Nieuwe woningen Randstad
20371,23,"Er mogen meer megastallen komen als zij voldoen aan eisen op het gebied
van volksgezondheid, dierenwelzijn en milieu.",Megastallen
20376,24,Er moet meer concurrentie tussen zorginstellingen (marktwerking) komen.,Marktwerking zorg
20378,25,De huisarts moet onder het eigen risico in de zorg vallen.,Eigen risico huisarts
20379,26,"Iedere burger moet orgaandonor zijn, tenzij hij of zij hier schriftelijk
bezwaar tegen maakt.",Orgaandonatie
20385,27,"Nederland moet zich terugtrekken uit het project voor de ontwikkeling
van het gevechtsvliegtuig JSF.",JSF
20386,28,De regering moet afzien van nieuwe bezuinigingen op defensie.,Bezuinigingen defensie
20388,29,De regering moet veel minder geld uitgeven voor hulp aan arme landen.,Hulp arme landen
20384,30,"Nederland moet streven naar een Europese regering, die door het Europees
Parlement wordt benoemd en ontslagen.",Europese regering
