id,name,abbreviation,name:en,result,result-constituency,result:number,result-constituency:number
1,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,CDU/CSU,Christian Democratic Union / Christian Social Union of Bavaria,33.80,39.42,14658515,17047674
2,Sozialdemokratische Partei Deutschlands,SPD,Social Democratic Party,23.03,27.93,9990488,12079758
3,Freie Demokratische Partei,FDP,Free Democratic Party,14.56,9.43,6316080,4076496
4,DIE LINKE,DIE LINKE,The Left,11.89,11.08,5155933,4791124
5,BÜNDNIS 90/DIE GRÜNEN,GRÜNE,Alliance '90/The Greens,10.71,9.20,4643272,3977125
6,Nationaldemokratische Partei Deutschlands,NPD,National Democratic Party,1.47,1.78,635525,768442
7,DIE REPUBLIKANER,REP,The Republicans,0.45,0.07,193396,30061
8,Familien-Partei Deutschlands,FAMILIE,Family Party,0.28,0.04,120718,17848
9,Mensch Umwelt Tierschutz,Die Tierschutzpartei,Human Environment Animal Welfare,0.53,0.04,230872,16887
10,Partei Bibeltreuer Christen,PBC,Party of Bible-abiding Christians,0.09,0.03,40370,12052
11,Marxistisch-Leninistische Partei Deutschlands,MLPD,Marxist Leninist Party,0.07,0.04,29261,17512
12,Bürgerrechtsbewegung Solidarität,BüSo,Civil Rights Movement Solidarity,0.09,0.08,38706,34894
13,Bayernpartei,BP,Bavaria Party,0.11,0.07,48311,32324
14,"Partei für Soziale Gleichheit, Sektion der Vierten Internationale",PSG,Social Equality Party,0.01,0.00,2957,0
15,Deutsche Zentrumspartei - Älteste Partei Deutschlands gegründet 1870,ZENTRUM,Centre Party,0.01,0.00,6087,369
16,Allianz der Mitte,ADM,Alliance of the Centre,0.01,0.00,2889,396
17,Die Violetten; für spirituelle Politik,DIE VIOLETTEN,The Violets – for Spiritual Politics,0.07,0.01,31957,5794
18,Deutsche Kommunistische Partei,DKP,German Communist Party,0.00,0.00,1894,929
19,DEUTSCHE VOLKSUNION,DVU,German People's Union,0.11,0.00,45752,0
20,Freie Wähler Deutschland,FWD,Free Voters,0.03,0.00,11243,0
21,Ökologisch-Demokratische Partei,ödp,Ecological Democratic Party,0.30,0.24,132249,105653
22,Piratenpartei Deutschland,PIRATEN,Pirate Party,1.95,0.11,847870,46770
23,Rentner-Partei-Deutschland,RENTNER,Pensioners' Party,0.13,0.00,56399,0
24,Rentnerinnen und Rentner Partei,RRP,Alliance 21/RRP,0.23,0.09,100605,37946
