id,name,given_name,family_name,gender,national_identity,municipality
186,Ľudovít Macháček,Ľudovít,Macháček,male,slovenská,Bratislava
80,Martin Kujan,Martin,Kujan,male,slovenská,Rimavská Sobota
146,Peter Weiss,Peter,Weiss,male,slovenská,Bratislava
34,Ľubomír Dzurák,Ľubomír,Dzurák,male,slovenská,Nováky
143,Roman Vavrík,Roman,Vavrík,male,slovenská,Bratislava
67,Pavel Kandráč,Pavel,Kandráč,male,slovenská,Bratislava
119,Imrich Sládeček,Imrich,Sládeček,male,slovenská,Martin
88,Miroslav Maxon,Miroslav,Maxon,male,slovenská,Trenčín
56,Ivan Hudec,Ivan,Hudec,male,slovenská,Bratislava
37,Pál Farkas,Pál,Farkas,male,maďarská,Nový Život - Eliášovce
116,Klára Sárközy,Klára,Sárközy,female,maďarská,Veľký Meder
8,Peter Baco,Peter,Baco,male,slovenská,Bratislava
190,Jarmila Michalovová,Jarmila,Michalovová,female,slovenská,Gelnica
49,Jana Halušková,Jana,Halušková,female,slovenská,Ružomberok
108,Pavol Prokopovič,Pavol,Prokopovič,male,slovenská,Stropkov
27,Ján Danko,Ján,Danko,male,slovenská,Trebišov
149,Štefan Zelník,Štefan,Zelník,male,slovenská,Žilina
63,Anton Juriš,Anton,Juriš,male,slovenská,Piešťany
100,Peter Osuský,Peter,Osuský,male,slovenská,Bratislava
115,Mária Sabolová,Mária,Sabolová,female,slovenská,Košice
118,Ján Sitek,Ján,Sitek,male,slovenská,Podbiel
72,Miroslav Kotian,Miroslav,Kotian,male,slovenská,Bojnice
46,László Gyurovszky,László,Gyurovszky,male,maďarská,Šaľa
64,Pavol Kačic,Pavol,Kačic,male,slovenská,Stropkov
130,Ján Šimko,Ján,Šimko,male,slovenská,Vysoké Tatry
110,Milan Rehák,Milan,Rehák,male,slovenská,Kostolná-Záriečie
102,Vladimír Palko,Vladimír,Palko,male,slovenská,Bratislava
2,Ladislav Ambróš,Ladislav,Ambróš,male,slovenská,Veľký Krtíš
75,Sergej Kozlík,Sergej,Kozlík,male,slovenská,Bratislava
81,Jozef Kužma,Jozef,Kužma,male,slovenská,Prešov
114,Eva Rusnáková,Eva,Rusnáková,female,slovenská,Lučenec
82,József Kvarda,József,Kvarda,male,maďarská,Čenkovce
112,Ján Rusnák,Ján,Rusnák,male,slovenská,Vinné
31,Diana Štrofová,Diana,Štrofová,female,slovenská,Bratislava
104,Ferdinand Petrák,Ferdinand,Petrák,male,slovenská,Košice
