id,name
5,Klub SDĽ
2,Klub SDK
4,Klub SNS
10,Klub PSNS
8,Klub KDH
6,Klub SOP-LDÚ-SZS
3,Klub SMK-MKP
1,Klub ĽS-HZDS
7,Klub Nezávislý
