id,name,abbreviation,name:en,result,result:number
5976,Christen-Democratisch Appel,CDA,Christian Democratic Appeal,26.51,2608573
5975,Partij van de Arbeid,PvdA,Labour Party,21.19,2085077
5977,Volkspartij voor Vrijheid en Democratie,VVD,People's Party for Freedom and Democracy,14.67,1443312
5980,Socialistische Partij,SP,Socialist Party,16.58,1630803
5981,Lijst 5 Fortuyn,Fortuyn,Pim Fortuyn List,0.21,20956
5979,GroenLinks,GroenLinks,GreenLeft,4.60,453054
5978,Democraten 66,D66,Democrats 66,1.96,193232
5982,ChristenUnie,ChristenUnie,ChristianUnion,3.97,390969
5983,Staatkundig Gereformeerde Partij,SGP,Reformed Political Party,1.56,153266
5985,EénNL,EénNL,One NL,0.64,62829
5984,Groep Wilders / Partij voor de Vrijheid,PvV,Party for Freedom,5.89,579490
5986,Partij voor de Dieren,PvdD,Party for the Animals,1.83,179988
6073,Nederland Transparant,Nederland Transparant,Netherlands Transparent,0.02,2318
6072,Partij voor Nederland,Partij voor Nederland,Party for the Netherlands,0.05,5010
6293,Continue Directe Democratie Partij,CDDP,Continuous Direct Democracy Party,0.01,559
6074,Liberaal Democratische Partij,Liberaal Democratische Partij,Liberal Democratic Party,0.02,2276
6294,Verenigde Senioren Partij,VSP,United Seniors Party,0.13,12522
6295,Ad Bos Collectief,ABC,Ad Bos Collective,0.05,5149
6880,Blanco lijst met als eerste kandidaat de heer Poortman,Blanco lijst met als eerste kandidaat de heer Poortman,Poortman List,0.02,2181
