id,name,abbreviation,result
1,Komunistická strana Čech a Moravy,KSČM,22.78
2,Moravané,Moravané,0.58
3,Česká pirátská strana,Piráti,2.17
4,Dělnická strana sociální spravedlnosti,DSSS,2.15
5,SNK Evropští demokraté,SNK-ED,1.58
6,Strana zelených,Zelení,2.79
7,SUVERENITA - STRANA DŮSTOJNÉHO ŽIVOTA,Suverenita-SDŽ,1.15
8,Strana Práv Občanů ZEMANOVCI,SPOZ,4.56
9,TOP 09 a Starostové,TOP09+STAN,4.32
10,Občanská demokratická strana,ODS,9.92
11,Strana svobodných občanů,Svobodní,0.63
12,Komunistická strana Československa,KSČ,2.05
