id,start_date,motion:text,motion:result,motion:requirement
56057,2012-06-14T08:30:00,Výroční zpráva Rady Českého rozhlasu za rok 2011,pass,simple majority
57294,2013-02-07T11:53:00,Novela z. o obcích,pass,simple majority
52601,2010-09-24T10:23:00,Novela z. o pozemních komunikacích,pass,simple majority
57600,2013-03-22T11:37:00,Informace ministryně práce a sociálních věcí k s-Kartám,pass,simple majority
55226,2011-12-13T14:27:00,Zpráva vlády o využití doporučení veřejného ochránce práv,pass,simple majority
57437,2013-02-14T11:25:00,Výroční zpráva o činnosti a hospodaření ČTK v roce 2011,pass,simple majority
54341,2011-09-20T13:00:00,Pořad schůze,pass,simple majority
53475,2011-04-27T07:27:00,Pořad schůze,fail,simple majority
55850,2012-05-04T07:10:00,Pořad schůze,pass,simple majority
56030,2012-06-13T10:43:00,Novela z. - občanský soudní řád,pass,simple majority
52968,2010-12-15T14:52:00,Vl. n. z. o státním rozpočtu ČR na rok 2011,fail,simple majority
52591,2010-09-24T07:38:00,Návrh na volbu členů do stálých delegací Parlamentu,pass,simple majority
54403,2011-09-21T14:02:00,Novela z. o místních poplatcích,fail,simple majority
55553,2012-02-08T11:46:00,Novela z. o provozu na pozemních komunikacích,fail,simple majority
54413,2011-09-22T10:16:00,Doh. mezi státy EU a Gruzií o spol. leteckém prostoru,pass,simple majority
52433,2010-07-09T10:11:00,Návrh na volbu členů nebo ustavení SK BIS,pass,simple majority
58131,2013-08-07T08:30:00,,pass,simple majority
54402,2011-09-21T14:01:00,Novela z. o místních poplatcích,pass,simple majority
54321,2011-09-09T10:34:00,Vl.n.z. o poskytování dávek osobám se zdravotním postižením,pass,simple majority
56624,2012-09-26T14:14:00,Vl.n.z. o Státním pozemkovém úřadu,pass,simple majority
56563,2012-09-26T08:03:00,Vl.n.z. o podmínkách obch. s povol. na emise skleník.plynů - EU,fail,simple majority
54657,2011-11-01T12:44:00,Pořad schůze,fail,simple majority
55220,2011-12-13T13:31:00,Pořad schůze,fail,simple majority
57481,2013-02-19T12:41:00,Novela z. o azylu a Policii ČR - EU,pass,simple majority
57318,2013-02-08T11:03:00,Novela z. o jednacím řádu Poslanecké sněmovny,pass,simple majority
52467,2010-09-21T13:55:00,Pořad schůze,fail,simple majority
57470,2013-02-19T12:28:00,Pořad schůze,pass,simple majority
55751,2012-03-21T10:39:00,Novela z. o investičních pobídkách,pass,simple majority
57808,2013-05-14T12:40:00,Pořad schůze,fail,simple majority
57848,2013-05-15T08:24:00,Novela z.o podmín. provozu vozidel na pozemních komunikacích - EU,pass,simple majority
54764,2011-11-01T16:40:00,Novela z. o stavebním spoření a státní podp. staveb. spoření,fail,simple majority
57851,2013-05-15T08:31:00,Novela z. o finančních konglomerátech - EU,pass,simple majority
53175,2011-02-09T08:12:00,Pořad schůze,fail,simple majority
55881,2012-05-09T13:01:00,Novela z. o odpovědnosti za škodu způs.při výkonu veřej.moci,fail,simple majority
56630,2012-09-26T14:19:00,Vl.n.z. o Státním pozemkovém úřadu,fail,simple majority
52711,2010-11-04T16:50:00,Prot. o perzistentních organických polutantech,pass,simple majority
57062,2012-12-13T10:17:00,Zpr. o využití doporučení veřejného ochránce práv,pass,simple majority
57464,2013-02-15T11:59:00,Novela z. - zákoník práce,pass,simple majority
53064,2011-02-01T13:56:00,Pořad schůze,pass,simple majority
56612,2012-09-26T13:23:00,Vl.n.z. o audiovizi,pass,simple majority
55506,2012-02-07T15:13:00,N.z. o sociálním bydlení,pass,simple majority
55372,2011-12-16T09:50:00,Novela z. o obcích,pass,simple majority
52492,2010-09-22T07:31:00,Vl.n.z. o změně zákonů v souvisl. s přij. zák.o fin.zajištění - EU,pass,simple majority
57086,2012-12-14T11:09:00,Novela z. o léčivech - EU,pass,simple majority
57841,2013-05-15T08:05:00,Novela z. o obchodu s reprodukčním materiálem lesních dřevin - EU,pass,simple majority
52441,2010-08-10T12:10:00,Pořad schůze,pass,simple majority
55574,2012-02-08T14:51:00,Návrh Pravidel hospodaření poslaneckých klubů pro rok 2012,pass,simple majority
55119,2011-12-06T15:00:00,Pořad schůze,fail,simple majority
52936,2010-12-14T15:19:00,Novela z. - soudní řád správní,pass,simple majority
53522,2011-04-29T10:22:00,Novela z. o inf. systémech veř. správy a o elektron. úkonech,pass,simple majority
57427,2013-02-14T10:40:00,Inf.o vojenských cvičeních AČR za období leden - červen 2012,pass,simple majority
57626,2013-03-26T16:05:00,Novela z. o odpovědnosti za škodu způs.při výkonu veřej.moci,pass,simple majority
54807,2011-11-03T01:22:00,Novela z. o stavebním spoření a státní podp. staveb. spoření,fail,simple majority
55453,2012-02-01T15:08:00,Novela z. o rozpočtovém určení daní,fail,simple majority
57067,2012-12-13T12:03:00,Návrh na změny zasedacího pořádku PS,pass,simple majority
55167,2011-12-08T09:35:00,Písemná interpelace K. Konečné na M. Kubu ve věci důlního díla Žeb,pass,simple majority
53537,2011-04-29T11:56:00,Vl.n.z. o chemických látkách (chemický zákon) - EU,pass,simple majority
54529,2011-09-27T10:49:00,Novela z. o daních z příjmů,pass,simple majority
56507,2012-09-21T08:28:00,Zpráva o výkonu dohledu nad finančním trhem za rok 2011,pass,simple majority
54996,2011-11-09T14:26:00,Novela z. o vzdělávání - školský zákon,pass,simple majority
53361,2011-03-22T16:34:00,Novela z. o jednacím řádu PS,pass,simple majority
57011,2012-12-11T15:52:00,Novela z. o střelných zbraních - EU,pass,simple majority
57842,2013-05-15T08:19:00,Novela z.o podmín. provozu vozidel na pozemních komunikacích - EU,fail,simple majority
54015,2011-06-21T18:55:00,Novela z. o inf. systémech veř. správy a o elektron. úkonech,pass,simple majority
56445,2012-09-18T16:16:00,"Vl.n.z. o změně daňových, pojistných a dalších zákonů - EU",pass,simple majority
54001,2011-06-21T18:24:00,Novela z. o podpoře regionálního rozvoje,fail,simple majority
52815,2010-12-08T08:09:00,Pořad schůze,pass,simple majority
