id,name,abbreviation
863,Poslanecký klub České strany sociálně demokratické,ČSSD
1065,Nezařazení,Nezařaz
864,Poslanecký klub Občanské demokratické strany,ODS
865,Poslanecký klub TOP 09 a Starostové,TOP09-S
867,Poslanecký klub Věci veřejné,VV
866,Poslanecký klub Komunistické strany Čech a Moravy,KSČM
