id,name,given_name,family_name,gender
5268,Miloslava Vostrá,Miloslava,Vostrá,female
5971,Igor Svoják,Igor,Svoják,male
5942,Václav Kubata,Václav,Kubata,male
346,Petr Bendl,Petr,Bendl,male
5947,Marie Nedvědová,Marie,Nedvědová,female
5462,Jan Hamáček,Jan,Hamáček,male
5916,Alena Hanáková,Alena,Hanáková,female
5937,Lenka Kohoutová,Lenka,Kohoutová,female
5932,Radek John,Radek,John,male
5899,Jan Bureš,Jan,Bureš,male
5922,Jitka Chalánková,Jitka,Chalánková,female
5891,Pavel Antonín,Pavel,Antonín,male
5444,Jan Babor,Jan,Babor,male
5984,Ivana Weberová,Ivana,Weberová,female
5261,Jiří Dolejš,Jiří,Dolejš,male
5957,Anna Putnová,Anna,Putnová,female
5516,Tomáš Úlehla,Tomáš,Úlehla,male
386,Stanislav Křeček,Stanislav,Křeček,male
5472,Jiří Krátký,Jiří,Krátký,male
5486,Ivan Ohlídal,Ivan,Ohlídal,male
5982,David Vodrážka,David,Vodrážka,male
5273,Jiří Pospíšil,Jiří,Pospíšil,male
401,Miroslava Němcová,Miroslava,Němcová,female
305,Miroslav Grebeníček,Miroslav,Grebeníček,male
5282,Josef Šenfeld,Josef,Šenfeld,male
5898,Ludmila Bubeníková,Ludmila,Bubeníková,female
5459,Radim Fiala,Radim,Fiala,male
5990,Jana Fischerová,Jana,Fischerová,female
5342,Robin Böhnisch,Robin,Böhnisch,male
6003,Miroslav Petráň,Miroslav,Petráň,male
5915,Martin Gregora,Martin,Gregora,male
5768,Vojtěch Adam,Vojtěch,Adam,male
5453,František Dědič,František,Dědič,male
5294,Petr Zgarba,Petr,Zgarba,male
5487,Jiří Petrů,Jiří,Petrů,male
5970,Jana Suchá,Jana,Suchá,female
5924,Tomáš Chalupa,Tomáš,Chalupa,male
5900,Václav Cempírek,Václav,Cempírek,male
237,Bohuslav Sobotka,Bohuslav,Sobotka,male
5931,Radim Jirout,Radim,Jirout,male
5901,Josef Cogan,Josef,Cogan,male
5490,Pavel Ploc,Pavel,Ploc,male
5272,Václav Votava,Václav,Votava,male
5989,Václav Zemek,Václav,Zemek,male
5975,Jiří Štětina,Jiří,Štětina,male
252,Lubomír Zaorálek,Lubomír,Zaorálek,male
5909,Jan Farský,Jan,Farský,male
5456,Richard Dolejš,Richard,Dolejš,male
5895,Pavel Bém,Pavel,Bém,male
5938,Květa Matušovská,Květa,Matušovská,female
5948,Josef Nekl,Josef,Nekl,male
5307,Alexander Černý,Alexander,Černý,male
5297,Michal Hašek,Michal,Hašek,male
5943,Helena Langšádlová,Helena,Langšádlová,female
5987,Jiří Zemánek,Jiří,Zemánek,male
5476,František Laudát,František,Laudát,male
5902,Jan Čechlovský,Jan,Čechlovský,male
5445,Zdeněk Boháč,Zdeněk,Boháč,male
354,Karel Černý,Karel,Černý,male
5933,David Kádner,David,Kádner,male
5953,Jan Pajer,Jan,Pajer,male
5905,Jaromír Drábek,Jaromír,Drábek,male
5908,Jaroslav Eček,Jaroslav,Eček,male
5959,Aleš Roztočil,Aleš,Roztočil,male
345,Walter Bartoš,Walter,Bartoš,male
6113,Igor Jakubčík,Igor,Jakubčík,male
5992,Josef Novotný st.,Josef,Novotný st.,male
392,Jaroslav Lobkowicz,Jaroslav,Lobkowicz,male
5322,Miroslav Opálka,Miroslav,Opálka,male
5310,Antonín Seďa,Antonín,Seďa,male
6008,Jan Kubata,Jan,Kubata,male
5379,Jan Bauer,Jan,Bauer,male
5950,Václav Neubauer,Václav,Neubauer,male
5964,Jiří Skalický,Jiří,Skalický,male
5301,David Šeich,David,Šeich,male
5946,Dagmar Navrátilová,Dagmar,Navrátilová,female
68,Václav Klučka,Václav,Klučka,male
5469,Gabriela Kalábková,Gabriela,Kalábková,female
5919,Václav Horáček,Václav,Horáček,male
5945,Jaroslav Martinů,Jaroslav,Martinů,male
5461,Milada Halíková,Milada,Halíková,female
5944,Pavol Lukša,Pavol,Lukša,male
