id,name,abbreviation,votes
4,TOP 09,TOP 09,yes
8,ANO 2011,ANO,yes
9,Občanská demokratická strana,ODS,yes
6,"Žít v Trutnově – SZ, LES a Piráti",ŽvT,yes
1,Česká strana sociálně demokratická,ČSSD,yes
5,Volba pro město Trutnov,VPMT,yes
2,Úsvit přímé demokracie s podporou politické strany Domov,Úsvit,yes
7,Komunistická strana Čech a Moravy,KSČM,no
3,Sdružení pro Trutnov,PRO T,no
