id,name,abbreviation,votes
3,ANO2011,ANO,yes
1,Komunistická strana Čech a Moravy,KSČM,yes
6,Česká strana sociálně demokratická,ČSSD,yes
2,Koalice TOP09 a KDU-ČSL,TOP 09 a KDU-ČSL,yes
5,Nezávislí,Nezávislí,no
4,Občanská demokratická strana,ODS,no
