id,motion:name,motion:text,motion:description,order
1,Otevírací doba parku P.Bezruče,"Chcete, aby byl park P. Bezruče veřejně přístupný i po 22 hodině?",,1
2,Rafinerský lesík,"Chcete, aby byl z Rafinérského lesíka znovu les a současné zábavní atrakce byly přesunuty na vhodnější místo?",,2
3,Lesopark Na Panském,"Chcete, aby v lokalitě ""Na Panském"" vznikl regulérní les pro zvěř místo plánovaného volnočasového lesoparku pro lidi?",,3
4,Meandry řeky Odry,Mělo by se město zasadit o větší ochranu Meandrů řeky Odry a rozšíření chráněné zóny ?,,4
5,Aleje a stromořadí,Jste pro obnovu alejí a stromořadí ve městě?,,5
6,Světelné znečištění,Mělo by se investovat do pouličního osvětlení neprodukujícího světelné znečištění i za cenu vyšších pořizovacích nákladů?,,6
7,Antošovice,Měl by se vyčistit Mžikov v Antošovicích?,,7
8,Útulek pro psy,Měl by se modernizovat útulek pro psy ?,,8
9,Recyklační tašky,"Chcete, aby městský podnik BM servis a.s. distribuoval tašky na recyklaci stejně jako OZO v Ostravě ?",,9
10,Nádoby na odpad,"Chcete, aby se ve městě vyměnily recyklační nádoby za nádoby s odsouvatelným vrchem jako mají v Ostravě nebo jako běžně používáme na směsný odpad?",,10
11,Poplatky za odpad,"Chcete, aby město odpustilo poplatky za odpad těm domům, které sníží svůj směsný odpad na minimum?",,11
12,Cyklodoprava,"Chcete, aby město výrazněji podpořilo cyklodopravu ?",,12
13,Vlastí MHD,"Chcete, aby mělo město svou vlastní městskou hromadnou dopravu a investovalo do nákupů autobusů či jiných dopravních prostředků ?",,13
14,Senior taxi ,Má se nadále zachovat služba Taxi pro seniory?,,14
15,Tramvaje,Má se ve městě obnovit tramvajová doprava s možností napojit se na síť v Ostravě ?,Tramvajová doprava existovala v Bohumíně v letech 1902 až 1973,15
16,Nadzemní parkoviště,Chcete aby ve městě byly postaveny nadzemní či podzemní garáže ?,,16
17,Nákupní středisko,"Jste pro, aby v prostoru okolí Kauflandu vyrostlo další nákupní středisko?",(za Rafinerským lesíkem),17
18,Veřejně prospěšní pracovníci,Souhlasíte s navýšením počtu veřejně prospěšných pracovníků?,,18
19,Bezdomovci na nádraží,Jste pro zachování denní místnosti pro bezdomovce na nádraží?,,19
20,Odkup ubytoven,"Jste pro to, aby město odkoupilo ubytovnu na náměstí i za cenu, která několikanásobně převyšuje tržní?",,20
21,Městská polcie,Měl by se posílit sbor městské policie ?,,21
22,Romští asistenti,"Měla by městská policie zaměstnat romské asistenty, kteří by chodili do problémových lokalit se strážníky a s možností, že se časem sami stanou strážníky?",,22
23,Kamery,"Jste pro, aby ve městě byly instalovány další kamery ?",,23
24,Výkup kovů,Jste pro zákaz výkupů drahých kovů od nepodnikatelů v komerčních sběrnách surovin?,"tento krok by měl zabránit stále častějším krádežím a nájezdům hlavně na domkaře, zároveň jde o zásah do volného podnikání",24
25,Výkup kovů II,"Jste pro to, aby občané museli odevzdávat kovový odpad pouze do městské sběrny a to bez odměny?",,25
26,SDH Kopytov,Měla by při SDH (sbor dobrovolných hasičů) Kopytov znovu vzniknout JPO (jednotka požární ochrany) ,,26
27,Památník padlým ve Starém Bohumíně,Měl by se památník padlým na náměstí ve Starém Bohumíně přesunout na hřbitov?,,27
28,Centrum pro podnikatele a řemeslníky,Mělo by ve městě vzniknout centrum pro začínající podnikatele a řemeslníky ?,,28
29,Smlouvy na internetu,Město by mělo zveřejňovat všechny své smlouvy na internetu.,,29
