id,name,abbreviation,votes
4,Toryové,TOR,yes
14,ŽENY 2014,ŽENY,yes
3,Česká strana sociálně demokratická,ČSSD,yes
13,OBČANÉ PRO BUDĚJOVICE,OPB,yes
9,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,yes
17,Občanská demokratická strana,ODS,yes
1,Úsvit pro Budějovice,Úsvit,yes
11,SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE,SPČB,yes
15,ČESKÉ BUDĚJOVICE JISTOTA DOMOVA,ČBJD,yes
16,ANO 2011,ANO,no
6,DOMA v Budějcích,DOMA,no
12,Dělnická strana sociální spravedlnosti,DSSS,no
8,Politické hnutí JIHOČEŠI 2012 a PRO Sport a Zdraví,JIH 12,no
2,Komunistická strana Čech a Moravy,KSČM,no
7,Strana svobodných občanů,Svobodní,no
10,TOP 09,TOP 09,no
5,Vize Národních Socialistů,VNS,no
