id,start_date,motion:text,motion:result,motion:requirement
28319,2002-02-14T16:57:00,Dohoda mezi ČR a Makedon. r. o podpoře a ochr. i,pass,simple majority
28320,2002-02-14T17:04:00,Dohoda mezi ČR a Kyperskou r. o ochraně investic,pass,simple majority
28321,2002-02-14T17:11:00,Smlouva mezi ČR a Rumunskem o boji proti org. zl,pass,simple majority
28322,2002-02-14T17:21:00,Úmluva o založení Evropské spol. pro financ. žel,pass,simple majority
28323,2002-02-15T08:20:00,Vládní návrh soudního řádu správního,pass,simple majority
28324,2002-02-15T08:21:00,Vládní návrh soudního řádu správního,fail,simple majority
28325,2002-02-15T08:22:00,Vládní návrh soudního řádu správního,pass,simple majority
28326,2002-02-15T08:24:00,Vládní návrh soudního řádu správního,pass,simple majority
28327,2002-02-15T08:24:00,Vládní návrh soudního řádu správního,fail,simple majority
28328,2002-02-15T08:25:00,Vládní návrh soudního řádu správního,pass,simple majority
28329,2002-02-15T08:26:00,Vládní návrh soudního řádu správního,fail,simple majority
28330,2002-02-15T08:27:00,Vládní návrh soudního řádu správního,pass,simple majority
28331,2002-02-15T08:28:00,Vládní návrh soudního řádu správního,pass,simple majority
28332,2002-02-15T08:30:00,Vládní návrh soudního řádu správního,pass,simple majority
28333,2002-02-15T08:30:00,Vládní návrh soudního řádu správního,fail,simple majority
28334,2002-02-15T08:31:00,Vládní návrh soudního řádu správního,fail,simple majority
28335,2002-02-15T08:31:00,Vládní návrh soudního řádu správního,fail,simple majority
28336,2002-02-15T08:32:00,Vládní návrh soudního řádu správního,pass,simple majority
28337,2002-02-15T08:36:00,"Vl. z., kterým se mění zák. v souvis. se soud. ř",pass,simple majority
28338,2002-02-15T08:37:00,"Vl. z., kterým se mění zák. v souvis. se soud. ř",pass,simple majority
28339,2002-02-15T08:37:00,"Vl. z., kterým se mění zák. v souvis. se soud. ř",fail,simple majority
28340,2002-02-15T08:38:00,"Vl. z., kterým se mění zák. v souvis. se soud. ř",fail,simple majority
28341,2002-02-15T08:39:00,"Vl. z., kterým se mění zák. v souvis. se soud. ř",pass,simple majority
28342,2002-02-15T08:39:00,"Vl. z., kterým se mění zák. v souvis. se soud. ř",pass,simple majority
28343,2002-02-15T08:40:00,"Vl. z., kterým se mění zák. v souvis. se soud. ř",pass,simple majority
28344,2002-02-15T08:50:00,Vládní návrh zákona správní řád,pass,simple majority
28345,2002-02-15T08:51:00,Vládní návrh zákona správní řád,pass,simple majority
28346,2002-02-15T08:51:00,Vládní návrh zákona správní řád,fail,simple majority
28347,2002-02-15T08:52:00,Vládní návrh zákona správní řád,fail,simple majority
28348,2002-02-15T08:53:00,Vládní návrh zákona správní řád,fail,simple majority
28349,2002-02-15T08:53:00,Vládní návrh zákona správní řád,fail,simple majority
28350,2002-02-15T08:54:00,Vládní návrh zákona správní řád,fail,simple majority
28351,2002-02-15T08:55:00,Vládní návrh zákona správní řád,fail,simple majority
28352,2002-02-15T08:55:00,Vládní návrh zákona správní řád,pass,simple majority
28353,2002-02-15T08:56:00,Vládní návrh zákona správní řád,pass,simple majority
28354,2002-02-15T08:56:00,Vládní návrh zákona správní řád,pass,simple majority
28355,2002-02-15T09:17:00,Vládní návrh zákona správní řád,fail,simple majority
28356,2002-02-15T09:27:00,Sml. o sociálním zabezpečení mezi ČR a Kanadou,pass,simple majority
28357,2002-02-15T09:30:00,Smlouva mezi ČR a SRN o sociálním zabezpečení,pass,simple majority
28358,2002-02-15T09:34:00,Smlouva mezi ČR a Ukrajinou o sociálním zabezpeč,pass,simple majority
28359,2002-02-15T09:39:00,Smlouva mezi ČR a Italskou r. o sociálním zabezp,pass,simple majority
28360,2002-02-15T09:45:00,Sml. mezi ČR a Kanadou o zamezení dvojího zdaněn,pass,simple majority
28361,2002-02-15T09:46:00,,pass,simple majority
28362,2002-02-15T09:53:00,Smlouva ČR a Marockým král. o zamezení dvojího z,pass,simple majority
28363,2002-02-15T10:10:00,Dohoda mezi ČR a Thajským král. o předávání pach,fail,simple majority
28364,2002-02-15T10:10:00,Dohoda mezi ČR a Thajským král. o předávání pach,pass,simple majority
28365,2002-02-15T10:16:00,Smlouva mezi ČR a Ukrajinou o právní pomoc,pass,simple majority
28366,2002-02-15T10:23:00,Sml. ČR a PR o propojení silnice a stavbě mostu,pass,simple majority
28367,2002-02-15T10:28:00,Memoranda o porozumění EUROPA,pass,simple majority
28368,2002-02-15T10:40:00,Úmluva o právním postavení osob bez státní přísl,pass,simple majority
28369,2002-02-15T10:46:00,Úmluva o právním postavení osob bez státní přísl,fail,two-thirds representatives majority
28370,2002-02-15T10:48:00,,pass,simple majority
28371,2002-02-15T10:55:00,Návrh Pravidel hosp.posl.klubů pro r.2002,pass,simple majority
28372,2002-02-15T11:06:00,Zpráva o průběhu likvidace FDM ke dni 30. 11. 20,pass,simple majority
28373,2002-02-15T11:23:00,Návrh rozpočtu FNM ČR pro rok 2002,fail,simple majority
28374,2002-02-15T11:24:00,Návrh rozpočtu FNM ČR pro rok 2002,pass,simple majority
28375,2002-02-15T11:25:00,Návrh rozpočtu FNM ČR pro rok 2002,fail,simple majority
28376,2002-03-12T13:09:00,,pass,simple majority
28377,2002-03-12T13:15:00,,pass,simple majority
28378,2002-03-12T13:47:00,,pass,simple majority
28379,2002-03-12T13:47:00,,pass,simple majority
28380,2002-03-12T13:48:00,,pass,simple majority
28381,2002-03-12T13:48:00,,pass,simple majority
28382,2002-03-12T13:49:00,,pass,simple majority
28383,2002-03-12T13:50:00,,pass,simple majority
28384,2002-03-12T13:51:00,,fail,simple majority
28385,2002-03-12T13:51:00,,pass,simple majority
28386,2002-03-12T13:52:00,,pass,simple majority
28387,2002-03-12T13:53:00,,fail,simple majority
28388,2002-03-12T13:54:00,,pass,simple majority
28389,2002-03-12T13:56:00,,pass,simple majority
28390,2002-03-12T13:56:00,,pass,simple majority
28391,2002-03-12T13:57:00,,pass,simple majority
28392,2002-03-12T13:58:00,,fail,simple majority
28393,2002-03-12T13:59:00,,pass,simple majority
28394,2002-03-12T14:00:00,,pass,simple majority
28395,2002-03-12T14:01:00,,fail,simple majority
28396,2002-03-12T14:02:00,,fail,simple majority
28397,2002-03-12T14:04:00,,fail,simple majority
28398,2002-03-12T14:04:00,,fail,simple majority
28399,2002-03-12T14:05:00,,pass,simple majority
28400,2002-03-12T14:06:00,,pass,simple majority
28401,2002-03-12T14:06:00,,fail,simple majority
28402,2002-03-12T14:07:00,,pass,simple majority
28403,2002-03-12T14:09:00,,pass,simple majority
28404,2002-03-12T14:09:00,,pass,simple majority
28405,2002-03-12T14:12:00,,pass,simple majority
28406,2002-03-12T14:19:00,Vládní návrh zákona o výkonu ústavní výchovy,pass,all representatives majority
28407,2002-03-12T14:30:00,Vládní návrh služebního zákona,pass,simple majority
28408,2002-03-12T14:33:00,Vládní návrh služebního zákona,pass,simple majority
28409,2002-03-12T14:34:00,Vládní návrh služebního zákona,pass,simple majority
28410,2002-03-12T14:35:00,Vládní návrh služebního zákona,fail,simple majority
28411,2002-03-12T14:36:00,Vládní návrh služebního zákona,pass,simple majority
28412,2002-03-12T14:37:00,Vládní návrh služebního zákona,pass,simple majority
28413,2002-03-12T14:38:00,Vládní návrh služebního zákona,fail,simple majority
28414,2002-03-12T14:39:00,Vládní návrh služebního zákona,pass,simple majority
28415,2002-03-12T14:41:00,Vládní návrh služebního zákona,fail,simple majority
28416,2002-03-12T14:41:00,Vládní návrh služebního zákona,pass,simple majority
28417,2002-03-12T14:42:00,Vládní návrh služebního zákona,pass,simple majority
28418,2002-03-12T14:44:00,Vládní návrh služebního zákona,pass,simple majority
28419,2002-03-12T14:45:00,Vládní návrh služebního zákona,fail,simple majority
28420,2002-03-12T14:46:00,Vládní návrh služebního zákona,pass,simple majority
28421,2002-03-12T14:47:00,Vládní návrh služebního zákona,fail,simple majority
28422,2002-03-12T14:48:00,Vládní návrh služebního zákona,pass,simple majority
28423,2002-03-12T14:48:00,Vládní návrh služebního zákona,fail,simple majority
28424,2002-03-12T14:49:00,Vládní návrh služebního zákona,fail,simple majority
28425,2002-03-12T14:50:00,Vládní návrh služebního zákona,fail,simple majority
28426,2002-03-12T14:51:00,Vládní návrh služebního zákona,fail,simple majority
28427,2002-03-12T14:53:00,Vládní návrh služebního zákona,pass,simple majority
28428,2002-03-12T14:54:00,Vládní návrh služebního zákona,pass,simple majority
28429,2002-03-12T14:56:00,Vládní návrh služebního zákona,pass,simple majority
28430,2002-03-12T14:57:00,Vládní návrh služebního zákona,fail,simple majority
28431,2002-03-12T14:59:00,Vládní návrh služebního zákona,pass,simple majority
28432,2002-03-12T15:01:00,Vládní návrh služebního zákona,pass,simple majority
28433,2002-03-12T15:09:00,Vládní návrh služebního zákona,pass,simple majority
28434,2002-03-12T15:17:00,Vl. n. zák. souvisejícího s přijetím služebního,pass,simple majority
28435,2002-03-12T15:19:00,Vl. n. zák. souvisejícího s přijetím služebního,pass,simple majority
28436,2002-03-12T15:19:00,Vl. n. zák. souvisejícího s přijetím služebního,pass,simple majority
28437,2002-03-12T15:20:00,Vl. n. zák. souvisejícího s přijetím služebního,pass,simple majority
28438,2002-03-12T15:21:00,Vl. n. zák. souvisejícího s přijetím služebního,pass,simple majority
28439,2002-03-12T15:22:00,Vl. n. zák. souvisejícího s přijetím služebního,fail,simple majority
28440,2002-03-12T15:23:00,Vl. n. zák. souvisejícího s přijetím služebního,fail,simple majority
28441,2002-03-12T15:24:00,Vl. n. zák. souvisejícího s přijetím služebního,pass,simple majority
28442,2002-03-12T15:25:00,Vl. n. zák. souvisejícího s přijetím služebního,pass,simple majority
28443,2002-03-12T15:30:00,Vládní novela zákona o zřízení ministerstev,pass,simple majority
28444,2002-03-12T16:41:00,Vl. návrh zák. o spořitelních a úvěrních družstv,pass,simple majority
28445,2002-03-12T17:27:00,Návrh zákona o spořitelních a úvěrních družstvec,fail,simple majority
28446,2002-03-12T17:28:00,Návrh zákona o spořitelních a úvěrních družstvec,fail,simple majority
28447,2002-03-12T17:39:00,N. zák. o stát. dluh. prog. ke krytí výplat ze Z,fail,simple majority
28448,2002-03-13T08:51:00,Vládní návrh zák. o Komisi pro cenné papíry - EU,pass,simple majority
28449,2002-03-13T09:01:00,Vládní návrh zákona o Finanční prokuratuře,pass,simple majority
28450,2002-03-13T09:14:00,Vládní návrh novely OSŘ ve vztahu k Fin. prokur.,pass,simple majority
28451,2002-03-13T10:33:00,Vládní návrh zákona o služebním poměru příslušní,pass,simple majority
28452,2002-03-13T10:47:00,,pass,simple majority
28453,2002-03-13T10:49:00,,pass,simple majority
28454,2002-03-13T10:49:00,,pass,simple majority
28455,2002-03-13T10:50:00,,pass,simple majority
28456,2002-03-13T11:08:00,V. zák. o úřednících územních samospráv. celků -,fail,simple majority
28457,2002-03-13T11:38:00,,pass,simple majority
28458,2002-03-13T11:39:00,,pass,simple majority
28459,2002-03-13T11:43:00,Vládní návrh zákona o právu shromažďovacím,pass,simple majority
28460,2002-03-13T13:06:00,,pass,simple majority
28461,2002-03-13T16:42:00,V. zák. o stanovení obcí s pověřeným obecním úřa,fail,simple majority
28462,2002-03-13T17:00:00,Návrh zákona o Národním parku Šumava,fail,simple majority
28463,2002-03-13T17:02:00,Návrh zákona o Národním parku Šumava,pass,simple majority
28464,2002-03-13T17:28:00,Návrh zákona o Národním parku Šumava,pass,simple majority
28465,2002-03-13T17:55:00,Novela zákona o Státním fondu dopravní infrastru,fail,simple majority
