id,name,abbreviation
50,Poslanecký klub Komunistické strany Čech a Moravy,KSČM
300,Nezařazení,Nezařaz
48,Poslanecký klub České strany sociálně demokratické,ČSSD
49,Poslanecký klub Křesťanské a demokratické unie - Československé strany lidové,KDU-ČSL
51,Poslanecký klub Občanské demokratické strany,ODS
52,Poslanecký klub Unie svobody,US
