id,name,abbreviation,votes
29,"TROJKOALICE ZELENÍ, KDU-ČSL A STARTOSTOVÉ - MÁTE PRÁVO",Trojkoalice,yes
23,"Řešení pro Prahu - STOP nízkoemisní zóně, zrušit modré zóny, MHD zdarma - www.reseniproprahu.cz",Řešení,yes
11,LEV 21 - Národní socialisté,LEV21-NS,yes
8,Komunistická strana Čech a Moravy,KSČM,yes
9,Konzervativní aliance 2014,KA 2014,yes
28,TOP 09,TOP 09,yes
21,RESTART 2014,Restart 2014,yes
31,Volte Pravý Blok. CIBULKA.NET,PB,yes
14,Občanská demokratická strana,ODS,yes
4,Demokraté Jana Kasla,DJK,yes
3,Česká strana sociálně demokratická,ČSSD,yes
30,Úsvit přímé demokracie,Úsvit,yes
16,PATRIOTI - Volba pro Prahu s podporou iniciativy MHD ZDARMA.CZ,Patrioti,yes
15,Občanská konzervativní strana,OKS,yes
17,Politické hnutí OBRODA,OBRODA,yes
19,PRO PRAHU,PP,yes
1,ANO 2011,ANO,yes
5,DOMOV,DOMOV,yes
2,Česká pirátská strana,Piráti,yes
18,Pro Prahu,Pro Prahu,yes
12,Národní kongres - za českou Prahu - koalice DSSS a Národní demokracie,DSSS a ND,no
6,Hnutí občanů Prahy,HOP,no
10,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)",KČ,no
13,NEZÁVISLÍ,Nezávislí,no
22,Romská demokratická strana,RDS,no
7,Koalice - ROZUMNÍ - NE dalším modrým zónám - ANO možnosti krátkodobého stání kdekoliv v Praze pro Pražany zdarma ...,Rozumní,no
20,Republika pro Prahu,RPP,no
24,"Sdružení Nezávislých Občanů Prahy, SNOP - Praha",SNOP,no
25,Společnost proti developerské výstavbě v Prokopském údolí,SPDVPÚ,no
26,Strana Práv Občanů,SPO,no
