id,name,abbreviation,votes
4,Volba pro město,VPM,yes
3,SEVEROČEŠI Děčín,Severočeši,yes
8,ANO 2011,ANO,yes
9,Česká strana sociálně demokratická,ČSSD,yes
7,Strana svobodných občanů,Svobodní,yes
6,Komunistická strana Čech a Moravy,KSČM,yes
1,Piráti za Děčín,Piráti,yes
5,TOP 09,TOP 09,yes
2,Koalice Občanské demokratické strany a hnutí PRO Sport a Zdraví,ODS a PSZ,yes
