id,start_date,result,motion:title,motion:text,motion:article,motion:legislative_session,motion:tramite,motion:type,motion:classification,motion:observations
11108,2010-03-17T17:22:00,pass,Propuesta de la Mesa para la integración de las Comisiones Permanentes.,,,2,,Única,Quorum Simple,
11109,2010-03-17T17:22:00,pass,Boletín N°6852-05,Otorga un bono solidario a las familias de menores ingresos.,"con excepción del inciso tercero del artículo 1°, que tiene el carácter de norma orgánica constitucional.",3,Primer Trámite Constitucional/Primer Informe,General,Quorum Simple,
11110,2010-03-17T17:22:00,pass,Boletín N°6852-05,Otorga un bono solidario a las familias de menores ingresos.,inciso tercero del artículo 1°.,3,Primer Trámite Constitucional/Primer Informe,General,Ley Orgánica Constitucional,
11118,2010-03-18T12:11:00,pass,Boletín N°6498-05,Establece normas que incentivan la calidad de atención al contribuyente por parte del Servicio de Impuestos Internos.,Enmiendas introducidas por el Senado.,4,Tercer Trámite Constitucional/,Particular,Quorum Simple,
11121,2010-03-18T13:55:00,pass,Proyecto de Acuerdo N°1,Envío de hospital semipermanente o modular y construcción de nuevo hospital para la provincia de Malleco.,,4,,Única,,
11122,2010-03-18T13:58:00,pass,Proyecto de Acuerdo N°2,Solicita al Reino de Marruecos informe acerca del paradero de los defensores de los derechos humanos y respeto a los derechos fundamentales del pueblo saharaui en los territorios ocupados del Sahara Occidental.,,4,,Única,,
11139,2010-03-23T11:10:00,pass,Creación de Comisión Especial de Deportes (Art. 229 Reglamento de la Cámara de Diputados).,,,5,,Única,Quorum Calificado,
11140,2010-03-23T13:10:00,pass,Boletín N°4921-11,Composición nutricional de los alimentos y su publicidad.,salvo el artículo 3º.,5,Segundo Trámite Constitucional/Primer Informe,General,Quorum Simple,
11141,2010-03-23T13:12:00,pass,Boletín N°4921-11,Composición nutricional de los alimentos y su publicidad.,3º.,5,Segundo Trámite Constitucional/Primer Informe,General,Ley Orgánica Constitucional,
11142,2010-03-23T13:13:00,pass,Boletín N°6045-12,Prohíbe el uso de bolsas plásticas no biodegradables.,con excepción del artículo 6º.,5,Primer Trámite Constitucional/Primer Informe,General,Quorum Simple,
11143,2010-03-23T13:13:00,pass,Boletín N°6045-12,Prohíbe el uso de bolsas plásticas no biodegradables.,6º.,5,Primer Trámite Constitucional/Primer Informe,General,Ley Orgánica Constitucional,
11144,2010-03-23T13:20:00,pass,Proyecto de Acuerdo N°3,Plan de ayuda médica a personas afectadas por terremoto.,,5,,Única,,
11145,2010-03-23T13:30:00,pass,Proyecto de Acuerdo N°4,Solicita creación de un Fondo para la Reconstrucción de Chile.,,5,,Única,,
11148,2010-03-23T20:39:00,pass,Proyecto de Acuerdo N°11,Dejar sin efecto normativa sobre aplicación de horas punta de los sistemas eléctricos.,,6,,Única,,
11149,2010-03-23T20:43:00,pass,Proyecto de Acuerdo N°12,Propone medidas para la situación de emergencia que afecta a Chile como consecuencia del terremoto.,,6,,Única,,
11151,2010-03-23T20:46:00,pass,Proyecto de Acuerdo N°13,Medidas para la reconstrucción del país.,,6,,Única,,
11160,2010-03-24T10:51:00,fail,Solicitud para crear la Comisión Especial de Reconstrucción Nacional.,,,7,,Única,Quorum Calificado,
11161,2010-03-24T12:56:00,pass,Boletín N°6753-29,Modifica la ley del deporte para favorecer a deportistas en casos que indica.,,7,Primer Trámite Constitucional/Primer Informe,General,Quorum Simple,
