id,name,abbreviation
1,Szociáldemokraták,Szociáldemokraták
2,Jobbik Magyarországért Mozgalom,Jobbik
3,Magyar Liberális Párt,Liberálisok
4,Kereszténydemokrata Néppárt,KDNP
5,Demokratikus Koalíció,DK
6,Együtt2014-PM,Együtt2014-PM
7,Fidesz,Fidesz
8,Magyar Szocialista Párt,MSZP
9,Lehet Más a Politika,LMP
